,,,,,,,,,,,
2019-09-01 15:22:07,,,,,,,,,,,
,,,,,,,,,,,
I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-1,-2,-1,2,0,-2,0,-2,-4,-3,-2,-1
-5,-12,-6,9,0,-9,0,-11,-18,-15,-10,-8
-13,-28,-14,20,0,-21,-1,-24,-40,-35,-24,-18
-21,-45,-23,33,0,-34,-1,-38,-63,-56,-38,-30
-29,-62,-32,45,1,-47,-1,-50,-85,-77,-52,-41
-35,-76,-40,55,2,-58,0,-59,-102,-96,-65,-51
-40,-87,-46,64,2,-67,2,-65,-114,-112,-76,-60
-45,-96,-50,71,2,-73,5,-66,-123,-124,-85,-66
-49,-103,-52,76,1,-78,8,-65,-127,-132,-91,-70
-53,-107,-53,80,0,-80,11,-60,-129,-136,-94,-72
-55,-109,-53,82,0,-81,12,-54,-130,-138,-95,-72
-56,-110,-53,83,-1,-81,12,-47,-131,-138,-94,-71
-58,-111,-51,84,-3,-81,11,-40,-132,-136,-92,-70
-59,-111,-51,85,-4,-81,11,-32,-132,-134,-91,-68
-60,-112,-50,86,-4,-81,11,-25,-131,-131,-90,-67
-61,-113,-50,87,-5,-81,14,-18,-128,-129,-90,-66
-62,-113,-50,87,-5,-81,16,-11,-125,-127,-89,-65
-63,-112,-48,87,-7,-80,19,-4,-121,-123,-89,-64
-64,-108,-43,85,-9,-75,22,1,-117,-118,-87,-62
-64,-99,-35,81,-13,-67,24,8,-112,-111,-82,-56
-62,-87,-25,75,-18,-56,28,18,-105,-101,-73,-48
-60,-71,-11,65,-23,-41,33,33,-93,-88,-59,-37
-56,-50,5,53,-30,-22,42,55,-74,-67,-38,-19
-52,-26,25,39,-38,0,55,86,-44,-36,-9,2
-44,0,45,22,-45,23,71,132,-1,2,26,30
-32,28,60,1,-46,44,92,194,57,52,69,61
-11,58,69,-22,-40,63,116,270,133,114,120,96
16,90,73,-53,-28,82,141,352,224,191,183,137
54,132,77,-93,-11,104,164,437,335,291,262,189
103,187,82,-145,10,134,183,521,465,415,360,254
163,255,91,-209,36,173,198,598,608,561,478,333
232,340,107,-286,62,223,203,659,754,725,616,427
306,443,136,-375,84,290,191,682,881,901,774,538
382,566,183,-474,98,375,153,648,970,1082,950,666
457,701,243,-579,106,472,83,551,1011,1260,1136,804
530,835,304,-683,112,570,-17,393,1002,1424,1319,938
600,954,353,-777,122,654,-147,188,945,1565,1480,1055
661,1042,380,-852,139,711,-295,-47,846,1666,1603,1141
704,1087,381,-895,160,734,-444,-294,711,1711,1667,1184
718,1077,358,-898,179,718,-577,-530,554,1689,1652,1171
697,1011,312,-854,191,662,-683,-735,389,1597,1551,1097
642,892,248,-767,196,570,-759,-903,223,1442,1367,964
559,738,177,-649,190,458,-811,-1035,58,1238,1124,788
456,574,118,-515,168,346,-841,-1137,-108,1005,853,592
339,421,81,-380,128,251,-852,-1210,-275,759,583,401
219,288,69,-254,74,178,-846,-1255,-438,514,338,230
104,183,79,-143,12,131,-821,-1270,-586,282,133,90
0,106,106,-53,-52,106,-777,-1254,-711,74,-27,-15
-86,55,141,15,-113,98,-717,-1207,-805,-102,-144,-87
-151,26,178,62,-164,102,-646,-1133,-861,-240,-219,-129
-194,13,208,90,-201,110,-566,-1034,-875,-336,-258,-147
-215,9,225,102,-220,117,-485,-914,-848,-390,-270,-149
-218,8,227,104,-223,118,-404,-779,-787,-410,-262,-140
-206,7,215,98,-211,111,-327,-639,-701,-400,-242,-125
-185,4,190,89,-188,97,-255,-500,-600,-371,-216,-110
-159,-1,158,79,-159,78,-190,-369,-495,-330,-187,-95
-133,-9,124,71,-129,57,-131,-251,-393,-284,-161,-83
-112,-19,92,65,-102,36,-81,-150,-303,-241,-139,-74
-95,-31,63,63,-79,16,-39,-68,-227,-203,-123,-68
-83,-43,39,63,-61,-1,-6,-6,-168,-173,-112,-64
-76,-54,20,65,-48,-16,16,37,-126,-150,-104,-64
-72,-64,7,68,-40,-28,31,66,-98,-134,-100,-64
-70,-71,-1,71,-34,-36,41,84,-82,-124,-98,-65
-68,-76,-8,72,-29,-42,47,94,-73,-118,-98,-67
-66,-80,-13,73,-26,-46,50,101,-70,-115,-99,-69
-63,-82,-18,73,-22,-50,53,104,-69,-114,-101,-72
-61,-84,-21,73,-19,-52,55,106,-69,-115,-105,-75
-60,-86,-24,73,-17,-55,58,107,-70,-119,-109,-78
-60,-88,-26,74,-16,-57,61,108,-70,-122,-113,-82
-62,-91,-28,76,-16,-59,63,109,-69,-124,-116,-84
-63,-93,-29,78,-16,-61,65,109,-66,-124,-117,-85
-64,-94,-28,79,-17,-61,66,110,-64,-123,-117,-85
-65,-94,-28,79,-18,-61,68,110,-62,-121,-115,-84
-66,-94,-27,80,-18,-61,70,113,-58,-120,-114,-83
-66,-95,-28,81,-18,-62,72,116,-53,-120,-114,-83
-66,-97,-30,82,-17,-63,76,121,-48,-120,-115,-84
-67,-99,-31,83,-17,-65,81,125,-42,-120,-116,-85
-68,-101,-32,85,-17,-67,84,130,-37,-119,-117,-86
-69,-103,-33,86,-17,-68,87,134,-32,-117,-117,-87
-68,-104,-35,86,-16,-69,89,137,-27,-115,-117,-88
-67,-103,-35,85,-15,-69,89,138,-24,-114,-116,-87
-66,-102,-35,84,-14,-69,90,138,-23,-112,-114,-86
-64,-100,-35,82,-14,-67,90,138,-22,-110,-112,-84
-63,-98,-34,81,-13,-66,90,138,-20,-109,-109,-83
-61,-97,-35,79,-12,-66,90,138,-19,-108,-107,-82
-60,-96,-35,78,-11,-66,91,140,-17,-106,-106,-82
-59,-97,-36,78,-10,-67,91,142,-14,-104,-105,-82
-58,-98,-38,78,-9,-68,91,145,-11,-101,-105,-82
-58,-100,-41,79,-7,-70,92,147,-8,-98,-104,-83
-57,-100,-43,78,-6,-72,92,149,-6,-96,-103,-83
