,,,,,,,,,,,
2019-09-01 15:23:34,,,,,,,,,,,
,,,,,,,,,,,
I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-2,-1,1,1,-1,0,0,0,0,0,0,-1
-9,-4,4,6,-6,0,0,-2,-1,-2,-4,-6
-20,-10,9,15,-15,0,0,-6,-4,-6,-9,-13
-32,-17,15,25,-24,0,1,-10,-5,-9,-15,-22
-45,-23,21,34,-33,0,3,-13,-6,-11,-19,-29
-56,-29,27,42,-41,0,4,-14,-6,-12,-23,-34
-64,-33,31,48,-48,0,6,-16,-5,-14,-26,-38
-70,-35,34,53,-52,0,7,-17,-5,-15,-28,-40
-75,-37,36,56,-55,0,8,-17,-5,-16,-31,-41
-78,-40,37,59,-57,-1,7,-18,-6,-18,-33,-42
-79,-41,37,60,-58,-1,7,-18,-7,-20,-35,-42
-80,-42,37,61,-58,-2,6,-19,-8,-22,-36,-42
-79,-42,36,61,-57,-2,5,-19,-8,-22,-36,-42
-78,-41,36,60,-57,-2,5,-19,-8,-22,-35,-41
-78,-40,36,59,-57,-1,5,-18,-6,-21,-34,-40
-78,-39,38,58,-58,0,6,-18,-5,-21,-34,-41
-78,-36,40,57,-59,2,6,-19,-5,-22,-35,-42
-78,-34,42,56,-60,4,7,-20,-6,-24,-37,-44
-79,-35,43,57,-61,4,8,-21,-6,-27,-39,-46
-80,-37,41,58,-61,2,9,-22,-6,-28,-40,-47
-80,-40,39,60,-60,0,9,-24,-7,-29,-40,-48
-80,-44,36,62,-58,-3,8,-26,-9,-30,-40,-48
-80,-46,33,63,-56,-6,7,-28,-10,-29,-39,-48
-77,-45,31,61,-54,-6,6,-28,-10,-28,-37,-47
-74,-43,30,59,-52,-6,6,-27,-9,-25,-35,-45
-72,-42,29,57,-51,-6,6,-25,-8,-24,-34,-44
-71,-42,28,57,-50,-6,7,-23,-7,-23,-34,-45
-71,-43,27,57,-49,-7,8,-23,-7,-23,-34,-46
-71,-43,26,57,-49,-8,7,-23,-7,-25,-35,-48
-72,-43,28,57,-50,-7,6,-25,-9,-26,-37,-51
-73,-42,30,58,-51,-6,5,-27,-10,-28,-38,-53
-74,-41,32,58,-53,-4,3,-30,-11,-29,-39,-55
-76,-41,34,58,-55,-3,2,-32,-12,-29,-39,-55
-78,-41,35,59,-56,-2,1,-33,-11,-29,-38,-55
