,,,,,,,,,,,
2019-09-01 15:25:11,,,,,,,,,,,
,,,,,,,,,,,
I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0,-2,-1,1,0,-1,0,-2,-3,-3,-3,-2
-1,-8,-7,4,2,-7,-1,-11,-16,-15,-14,-10
-1,-17,-15,8,7,-16,-1,-25,-36,-34,-31,-23
0,-25,-25,12,13,-25,-2,-39,-57,-54,-50,-36
2,-33,-35,14,18,-34,-3,-52,-76,-73,-69,-50
3,-39,-43,17,23,-41,-3,-63,-92,-90,-85,-62
3,-44,-48,20,25,-46,-3,-72,-103,-104,-99,-72
2,-46,-49,21,25,-48,-2,-77,-111,-116,-111,-80
1,-45,-47,21,24,-46,0,-80,-116,-124,-118,-85
2,-40,-42,18,21,-41,2,-80,-116,-128,-121,-86
2,-32,-35,15,19,-34,5,-78,-114,-128,-120,-84
3,-23,-27,10,15,-25,9,-76,-108,-124,-115,-79
4,-13,-18,4,11,-15,12,-73,-102,-117,-108,-74
4,-3,-8,0,6,-5,14,-71,-96,-110,-101,-69
2,4,1,-3,1,2,15,-70,-90,-103,-95,-64
1,9,7,-5,-2,8,18,-67,-84,-97,-90,-61
0,12,12,-6,-5,12,21,-64,-78,-92,-87,-60
0,14,14,-6,-7,14,26,-59,-72,-89,-85,-59
0,15,16,-7,-8,16,30,-55,-67,-87,-83,-58
0,18,18,-9,-8,18,33,-52,-62,-84,-80,-56
1,21,20,-11,-9,21,31,-53,-60,-81,-75,-52
3,25,21,-14,-8,23,25,-57,-60,-79,-71,-48
7,29,22,-18,-7,25,15,-63,-61,-75,-65,-42
11,33,21,-22,-4,27,3,-69,-61,-70,-59,-36
14,35,20,-25,-2,27,-7,-75,-61,-66,-53,-31
18,36,17,-27,0,27,-16,-79,-60,-62,-49,-26
21,37,14,-29,3,25,-23,-82,-60,-60,-47,-23
25,37,11,-31,6,24,-29,-84,-62,-61,-47,-22
27,38,9,-32,8,23,-34,-88,-66,-65,-49,-22
29,37,8,-33,9,22,-39,-94,-74,-72,-52,-23
29,36,6,-32,10,21,-43,-101,-83,-80,-57,-26
28,31,2,-29,12,17,-47,-107,-93,-87,-62,-29
26,25,-1,-25,13,11,-49,-113,-101,-93,-66,-33
25,18,-6,-21,15,6,-51,-117,-108,-98,-70,-35
24,12,-11,-18,17,0,-51,-120,-113,-102,-73,-38
24,7,-17,-16,20,-4,-50,-122,-117,-107,-77,-40
25,3,-22,-14,23,-9,-49,-123,-121,-112,-82,-42
24,-2,-27,-10,26,-15,-46,-123,-124,-117,-87,-46
22,-10,-32,-5,27,-21,-41,-122,-125,-121,-92,-49
18,-19,-37,0,27,-28,-35,-118,-125,-124,-95,-53
11,-29,-41,8,26,-35,-29,-115,-124,-126,-98,-56
4,-39,-43,17,23,-41,-25,-114,-124,-127,-100,-60
-3,-47,-44,25,19,-46,-24,-114,-125,-128,-102,-64
-11,-56,-44,33,15,-50,-24,-115,-126,-129,-104,-68
-19,-63,-43,41,11,-53,-26,-118,-128,-130,-106,-72
-24,-68,-43,46,8,-55,-27,-121,-130,-133,-110,-76
-27,-71,-43,49,8,-57,-27,-122,-133,-136,-114,-80
-26,-72,-45,49,8,-59,-25,-122,-135,-140,-119,-84
-25,-73,-47,49,10,-60,-23,-123,-137,-145,-124,-89
-25,-75,-49,50,11,-62,-22,-124,-141,-150,-129,-93
