,,,,,,,,,,,
2019-09-01 15:57:15,,,,,,,,,,,
,,,,,,,,,,,
I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-1,-1,0,1,0,0,0,-1,-3,-2,-1,-1
-4,-5,0,4,-1,-3,2,-5,-13,-12,-7,-5
-8,-11,-2,10,-2,-7,5,-12,-29,-26,-17,-12
-13,-19,-5,16,-3,-12,7,-19,-47,-43,-27,-20
-18,-27,-8,22,-4,-17,9,-26,-64,-59,-37,-28
-21,-33,-11,27,-4,-22,11,-33,-80,-73,-46,-35
-24,-37,-12,31,-5,-24,11,-40,-93,-84,-52,-40
-27,-39,-11,33,-7,-25,11,-47,-103,-93,-56,-44
-29,-39,-10,34,-9,-25,10,-53,-111,-98,-58,-46
-31,-39,-8,35,-11,-23,10,-59,-117,-101,-59,-48
-32,-38,-6,35,-12,-22,10,-64,-122,-102,-59,-49
-32,-37,-5,35,-13,-21,10,-67,-125,-103,-60,-49
-32,-37,-5,34,-13,-21,10,-68,-127,-102,-60,-50
-31,-37,-5,34,-12,-21,10,-69,-127,-102,-60,-50
-32,-39,-6,35,-12,-22,10,-69,-126,-101,-60,-51
-33,-40,-6,37,-13,-23,11,-69,-125,-101,-60,-51
-34,-41,-6,38,-13,-23,10,-71,-126,-101,-60,-51
-35,-41,-5,38,-14,-23,9,-73,-127,-101,-59,-50
-36,-41,-4,38,-15,-23,8,-76,-129,-102,-59,-49
-36,-40,-4,38,-15,-22,7,-80,-131,-103,-59,-49
-36,-39,-3,38,-15,-21,6,-82,-133,-104,-59,-49
-35,-39,-4,37,-15,-21,6,-84,-135,-105,-60,-49
-34,-40,-5,37,-13,-22,5,-84,-136,-106,-62,-50
-32,-41,-7,37,-12,-24,5,-83,-136,-107,-64,-51
-31,-42,-10,36,-9,-26,4,-82,-135,-107,-66,-51
-30,-43,-13,36,-7,-28,4,-82,-135,-108,-68,-51
-29,-44,-14,36,-6,-29,3,-82,-135,-108,-68,-50
-29,-45,-15,37,-6,-30,3,-83,-136,-108,-68,-48
-30,-45,-14,38,-7,-30,2,-85,-137,-107,-66,-46
-32,-46,-13,39,-9,-29,2,-87,-139,-107,-64,-43
-34,-46,-10,40,-11,-28,2,-89,-141,-106,-62,-42
-37,-47,-9,42,-13,-28,2,-89,-143,-107,-61,-41
-38,-48,-8,43,-14,-28,2,-89,-144,-108,-61,-42
-39,-49,-9,44,-14,-29,2,-87,-144,-109,-62,-43
-38,-50,-11,44,-13,-31,2,-85,-144,-111,-63,-45
-38,-52,-12,45,-12,-32,1,-84,-144,-113,-65,-48
-38,-52,-13,45,-11,-33,0,-84,-145,-114,-66,-50
-38,-52,-13,45,-12,-32,0,-85,-146,-116,-67,-52
-38,-50,-11,44,-12,-31,-1,-87,-147,-117,-68,-52
-37,-48,-10,43,-13,-29,-2,-89,-149,-118,-69,-52
-36,-46,-9,41,-13,-27,-3,-91,-151,-119,-69,-52
-35,-44,-8,39,-12,-26,-4,-92,-152,-120,-70,-52
-34,-44,-9,39,-11,-26,-4,-91,-152,-121,-71,-53
-34,-45,-10,39,-11,-27,-4,-90,-152,-123,-73,-55
-33,-46,-12,39,-9,-29,-5,-88,-152,-125,-76,-57
-32,-47,-14,39,-8,-31,-5,-87,-151,-126,-78,-58
-32,-48,-16,40,-7,-32,-6,-88,-152,-128,-79,-59
-32,-48,-16,40,-7,-32,-6,-89,-153,-129,-79,-60
-32,-48,-14,40,-8,-31,-7,-92,-155,-129,-78,-59
-34,-47,-12,40,-10,-30,-7,-95,-157,-129,-76,-59
-35,-47,-10,41,-11,-29,-8,-97,-159,-129,-75,-59
-36,-47,-9,41,-12,-28,-7,-98,-161,-129,-74,-60
-37,-47,-10,42,-12,-28,-7,-97,-161,-129,-75,-61
-37,-49,-11,43,-12,-30,-6,-95,-160,-130,-76,-62
-37,-51,-13,44,-11,-32,-5,-93,-159,-130,-78,-63
-37,-53,-15,45,-10,-33,-4,-91,-158,-131,-80,-64
-37,-54,-16,45,-9,-35,-4,-91,-159,-132,-81,-64
-37,-54,-17,45,-9,-35,-4,-93,-159,-132,-80,-63
-36,-54,-17,45,-9,-35,-5,-95,-160,-132,-79,-62
-37,-54,-16,45,-9,-35,-5,-97,-162,-132,-78,-60
-37,-53,-15,45,-10,-34,-5,-99,-163,-132,-77,-59
-37,-53,-15,45,-9,-34,-5,-99,-164,-132,-76,-59
-36,-54,-16,45,-9,-35,-4,-99,-164,-133,-76,-60
-35,-54,-18,44,-7,-36,-3,-97,-163,-133,-77,-61
-33,-56,-21,44,-5,-38,-2,-95,-162,-134,-78,-62
-33,-57,-23,44,-4,-40,-2,-94,-161,-135,-79,-64
-32,-58,-24,45,-3,-41,-3,-95,-160,-136,-79,-66
-33,-57,-23,45,-4,-40,-3,-96,-161,-136,-79,-67
-34,-56,-21,45,-5,-39,-4,-98,-162,-136,-78,-67
-35,-54,-18,45,-8,-36,-5,-100,-164,-135,-77,-66
-36,-52,-15,44,-10,-34,-5,-102,-166,-135,-78,-66
-37,-51,-13,44,-11,-32,-5,-102,-167,-135,-79,-66
-37,-50,-12,44,-11,-31,-5,-101,-167,-136,-80,-68
-37,-50,-13,44,-11,-32,-5,-99,-165,-136,-82,-69
-37,-51,-14,44,-10,-33,-4,-97,-164,-137,-84,-71
-36,-53,-15,45,-10,-34,-4,-96,-163,-137,-86,-72
-36,-54,-17,45,-8,-35,-4,-96,-162,-138,-87,-72
-35,-54,-18,45,-7,-36,-4,-97,-163,-139,-86,-71
-35,-53,-18,44,-7,-36,-4,-99,-163,-139,-85,-70
-35,-52,-16,44,-8,-34,-4,-100,-164,-138,-83,-67
-36,-50,-13,43,-11,-32,-3,-101,-165,-137,-82,-65
