,,,,,,,,,,,
2019-09-01 15:32:26,,,,,,,,,,,
,,,,,,,,,,,
I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-221,627,847,-199,-532,731,-1025,-1945,-873,-1545,-348,27
-449,423,871,4,-658,647,-1085,-2179,-1893,-2187,-1254,-650
-575,255,835,154,-706,545,-1067,-2191,-2271,-2403,-1638,-986
-647,153,799,244,-724,479,-1037,-2137,-2361,-2438,-1728,-1136
-683,33,721,316,-700,377,-983,-2035,-2343,-2391,-1734,-1184
-671,-38,625,352,-652,287,-929,-1879,-2199,-2229,-1644,-1166
-641,-92,541,364,-592,221,-857,-1705,-1977,-2007,-1494,-1100
-587,-170,415,376,-502,119,-761,-1477,-1725,-1755,-1326,-1010
-521,-218,301,370,-418,35,-695,-1297,-1527,-1551,-1176,-908
-437,-224,211,328,-322,-1,-653,-1177,-1353,-1365,-1038,-812
-365,-224,139,292,-250,-36,-611,-1081,-1185,-1215,-918,-728
-317,-218,97,262,-214,-54,-551,-979,-1023,-1071,-780,-632
-257,-182,73,220,-172,-48,-485,-859,-897,-927,-678,-542
-221,-152,61,184,-142,-42,-413,-757,-783,-795,-594,-494
-185,-152,25,166,-106,-60,-329,-649,-675,-669,-504,-434
-161,-128,25,142,-94,-48,-257,-553,-585,-555,-438,-380
-137,-104,25,118,-82,-36,-203,-481,-495,-459,-378,-344
-125,-92,25,106,-76,-30,-155,-415,-405,-375,-306,-290
-107,-98,1,100,-58,-42,-95,-337,-339,-297,-252,-248
-95,-92,1,94,-46,-42,-53,-277,-291,-231,-228,-218
-89,-104,-10,94,-34,-60,-17,-235,-249,-177,-192,-206
-71,-110,-34,88,-16,-72,0,-199,-219,-153,-168,-194
-77,-134,-52,106,-10,-96,30,-151,-195,-117,-156,-170
-77,-140,-58,106,-5,-102,42,-133,-183,-87,-156,-176
-65,-146,-76,106,-5,-114,66,-97,-141,-57,-126,-152
-53,-152,-94,100,13,-126,78,-85,-123,-57,-120,-140
-41,-152,-106,94,25,-132,84,-73,-105,-27,-108,-134
-35,-146,-106,88,25,-126,78,-67,-93,-15,-96,-122
-41,-146,-100,94,19,-126,90,-55,-81,-10,-84,-104
-35,-146,-106,88,25,-126,90,-43,-69,-10,-78,-104
-29,-140,-106,82,31,-126,90,-43,-57,-4,-72,-104
-47,-146,-94,94,13,-120,96,-25,-39,2,-60,-92
-53,-146,-88,100,7,-120,102,-13,-45,14,-60,-86
-47,-140,-88,94,13,-114,108,-8,-27,38,-54,-92
-35,-146,-106,88,25,-126,120,-8,-10,38,-42,-80
-23,-134,-106,76,31,-120,132,10,-10,50,-30,-68
-6,-116,-112,58,49,-114,138,28,2,74,-18,-56
12,-104,-124,40,67,-114,138,16,20,86,-7,-50
-6,-122,-118,58,49,-120,138,28,26,86,-7,-32
-35,-146,-106,88,25,-126,120,22,14,80,-7,-50
-47,-158,-106,100,19,-132,120,10,14,80,-7,-50
-17,-134,-112,76,37,-126,126,22,26,80,-7,-38
-11,-122,-106,64,37,-114,132,40,26,92,-7,-26
-11,-122,-106,64,37,-114,138,40,32,98,-7,-32
-6,-122,-118,58,49,-120,150,46,44,116,-7,-26
-6,-134,-130,64,55,-132,150,58,50,122,5,-14
-6,-134,-124,70,49,-132,156,70,62,140,17,-9
0,-134,-142,58,67,-138,150,58,74,146,29,-9
0,-122,-130,52,61,-126,144,64,74,146,35,3
12,-104,-124,40,67,-114,144,76,74,146,35,3
12,-110,-130,40,67,-120,156,82,92,164,47,15
0,-116,-124,52,61,-120,150,88,104,164,59,9
12,-98,-118,34,61,-108,156,94,98,158,59,15
