,,,,,,,,,,,
2019-09-01 15:33:06,,,,,,,,,,,
,,,,,,,,,,,
I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-129,-256,-129,195,5,-196,-48,36,54,-68,-28,6
-129,-256,-129,195,5,-196,-48,36,54,-68,-28,6
-129,-256,-129,195,5,-196,-48,36,54,-68,-28,6
-129,-256,-129,195,5,-196,-48,36,54,-68,-28,6
-117,-256,-135,183,11,-196,-48,36,54,-74,-28,6
-111,-256,-141,183,17,-202,-48,36,54,-74,-28,6
-99,-250,-147,171,28,-202,-48,36,54,-80,-28,6
-93,-250,-153,171,28,-202,-48,36,54,-80,-28,6
-93,-250,-153,171,28,-202,-48,42,48,-80,-34,-6
-93,-250,-153,171,28,-202,-48,42,48,-80,-34,-12
-93,-250,-153,171,28,-202,-48,48,42,-80,-40,-24
-93,-250,-153,171,28,-202,-48,48,42,-80,-40,-30
-93,-244,-147,165,28,-196,-54,48,42,-86,-46,-36
-93,-244,-147,165,28,-196,-54,48,42,-86,-46,-36
-93,-238,-141,165,28,-190,-60,48,42,-92,-52,-42
-93,-238,-141,165,28,-190,-60,48,42,-92,-52,-42
-99,-244,-141,171,23,-196,-66,42,36,-98,-58,-48
-105,-250,-141,177,23,-196,-66,42,36,-98,-58,-54
-111,-256,-141,183,17,-202,-72,36,30,-104,-64,-60
-117,-256,-141,189,17,-202,-72,36,30,-104,-64,-66
-123,-256,-135,189,11,-202,-72,42,36,-104,-64,-66
-123,-256,-135,189,11,-202,-72,42,36,-104,-64,-66
-129,-256,-129,195,5,-196,-72,48,42,-104,-64,-66
-129,-256,-129,195,5,-196,-72,48,42,-104,-64,-66
-123,-256,-135,189,11,-202,-66,54,48,-98,-58,-60
-117,-256,-141,189,17,-202,-66,54,54,-92,-58,-54
-111,-256,-147,183,23,-208,-60,60,60,-86,-52,-48
-105,-256,-153,183,28,-208,-60,60,66,-80,-52,-42
-99,-256,-153,177,28,-208,-60,60,66,-80,-52,-42
-99,-250,-147,171,28,-202,-60,60,66,-80,-52,-42
-93,-244,-147,165,28,-196,-60,60,66,-80,-52,-42
-93,-238,-141,165,28,-190,-60,60,66,-80,-52,-42
-99,-244,-141,171,23,-196,-60,60,72,-80,-52,-36
-105,-244,-135,171,17,-190,-60,60,72,-80,-52,-36
-111,-250,-135,177,17,-196,-60,60,78,-80,-52,-30
-117,-250,-129,183,11,-190,-60,60,78,-80,-52,-30
-111,-250,-135,177,17,-196,-60,66,78,-74,-46,-30
-111,-250,-135,177,17,-196,-60,66,78,-68,-46,-30
-105,-250,-141,177,23,-196,-60,72,78,-62,-40,-30
-105,-250,-141,177,23,-196,-60,72,78,-56,-40,-30
-105,-238,-129,171,17,-184,-60,66,78,-56,-46,-24
-105,-232,-123,165,11,-178,-60,66,78,-56,-46,-24
-105,-220,-111,159,5,-166,-60,60,78,-56,-52,-18
-105,-214,-105,159,5,-160,-60,60,78,-56,-52,-18
-111,-226,-111,165,5,-172,-60,60,78,-62,-46,-24
-117,-232,-111,171,-1,-172,-60,60,78,-62,-46,-24
-123,-244,-117,183,-1,-184,-60,60,78,-68,-40,-30
-129,-250,-117,189,-1,-184,-60,60,78,-68,-40,-30
-105,-226,-117,165,11,-172,-54,66,84,-62,-34,-24
-87,-208,-117,147,17,-166,-54,72,90,-56,-28,-18
-63,-184,-117,123,28,-154,-48,78,96,-50,-22,-12
-45,-166,-117,105,28,-142,-48,84,102,-44,-16,-6
-57,-178,-117,117,28,-148,-48,78,96,-50,-22,-12
-63,-184,-117,123,28,-154,-48,78,96,-50,-28,-12
-75,-196,-117,135,23,-160,-48,72,90,-56,-34,-18
-81,-202,-117,141,23,-160,-48,72,90,-56,-40,-18
-87,-208,-117,147,17,-166,-54,66,84,-62,-40,-24
-87,-214,-123,147,23,-172,-54,66,84,-62,-40,-24
-93,-220,-123,153,17,-172,-60,60,78,-68,-40,-30
-93,-226,-129,159,23,-178,-60,60,78,-68,-40,-30
-87,-220,-129,153,23,-178,-54,54,72,-68,-46,-30
-87,-220,-129,153,23,-178,-54,54,72,-68,-46,-30
-81,-214,-129,147,28,-172,-48,48,66,-68,-52,-30
-81,-214,-129,147,28,-172,-48,48,66,-68,-52,-30
-81,-208,-123,141,23,-166,-42,54,72,-68,-52,-30
-81,-208,-123,141,23,-166,-42,54,72,-68,-52,-30
-81,-202,-117,141,23,-160,-36,60,78,-68,-52,-30
-81,-202,-117,141,23,-160,-36,60,78,-68,-52,-30
-87,-214,-123,147,23,-172,-42,54,72,-74,-64,-36
-87,-220,-129,153,23,-178,-42,48,72,-74,-70,-36
-93,-232,-135,159,23,-184,-48,42,66,-80,-82,-42
