,,,,,,,,,,,
2019-09-01 15:30:54,,,,,,,,,,,
,,,,,,,,,,,
I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
3,3,0,-3,1,1,0,8,8,6,4,3
17,16,0,-16,8,7,0,39,37,27,20,13
39,38,0,-39,19,18,0,88,84,62,46,31
65,64,0,-65,32,31,-2,144,138,102,76,51
91,90,0,-90,45,44,-4,200,192,141,106,71
114,114,0,-114,57,56,-7,250,240,177,134,91
136,135,0,-135,68,66,-10,292,282,208,159,108
154,154,0,-154,77,76,-13,327,315,235,179,122
168,169,1,-169,83,85,-16,354,342,257,196,133
179,181,2,-180,88,91,-19,374,364,276,209,143
187,189,2,-188,91,96,-21,391,384,293,221,152
193,194,1,-194,95,97,-22,405,402,310,231,159
199,198,-1,-198,99,98,-22,417,419,326,238,166
204,201,-2,-202,103,99,-23,428,434,339,244,173
208,205,-2,-206,104,101,-26,436,445,349,247,177
212,211,0,-211,106,104,-31,442,453,355,248,181
216,215,0,-216,108,107,-37,447,458,360,249,184
220,218,-1,-219,110,107,-44,450,462,363,251,187
222,218,-3,-220,112,107,-49,453,464,365,253,190
223,219,-4,-221,113,106,-53,456,467,367,256,192
223,218,-5,-221,114,105,-55,459,470,370,258,194
224,217,-7,-220,115,104,-56,462,473,373,260,196
225,216,-8,-220,116,103,-56,465,477,375,262,196
225,215,-9,-220,117,102,-57,467,480,376,262,196
223,215,-8,-219,116,102,-57,468,481,375,261,195
221,214,-6,-218,113,103,-58,467,480,372,260,195
219,214,-4,-217,111,105,-59,464,476,367,257,195
217,215,-2,-216,109,106,-60,459,469,360,253,193
215,216,1,-215,106,109,-60,452,461,352,249,190
211,217,5,-214,102,111,-60,445,452,344,245,187
207,217,9,-212,98,113,-59,438,443,337,240,182
202,216,13,-209,93,115,-56,431,435,330,237,178
196,214,17,-205,88,116,-51,425,428,324,233,173
191,210,18,-200,85,114,-45,419,419,316,228,168
185,203,17,-194,83,110,-39,411,409,305,223,163
178,194,15,-186,80,105,-33,402,395,292,215,158
170,185,15,-177,76,100,-28,392,379,276,207,152
160,176,15,-168,71,96,-23,380,361,258,198,146
150,166,16,-158,66,91,-20,367,342,240,189,141
139,155,16,-147,61,85,-16,355,323,224,180,134
127,143,15,-135,55,79,-12,343,306,209,171,128
114,131,16,-123,48,73,-8,332,290,195,162,120
102,120,17,-111,42,68,-5,320,274,182,151,111
91,110,18,-100,35,64,-2,308,258,168,139,102
81,100,18,-90,30,59,1,294,241,152,126,92
72,91,17,-82,26,54,5,280,222,134,112,83
63,82,17,-72,22,49,9,265,203,116,99,74
54,73,17,-63,18,45,13,249,184,99,86,66
45,64,18,-55,13,41,16,232,165,83,74,57
36,56,19,-46,8,37,20,217,149,68,63,49
27,48,21,-38,2,35,22,202,133,55,52,41
18,39,21,-28,-1,30,25,187,118,43,41,33
9,29,19,-19,-5,24,26,172,105,32,30,26
2,18,16,-10,-7,17,27,158,91,21,19,20
-3,10,14,-3,-8,12,28,143,77,9,10,14
-8,4,12,1,-10,8,28,129,63,-3,1,9
-12,0,12,6,-12,5,28,115,48,-15,-5,4
-17,-5,11,11,-14,3,28,102,33,-27,-12,0
-22,-10,11,16,-17,0,29,89,19,-37,-17,-4
-27,-15,11,21,-19,-1,30,78,7,-45,-20,-9
-32,-20,11,26,-22,-4,32,67,-3,-51,-23,-15
-37,-25,11,31,-24,-6,34,58,-11,-56,-25,-20
-40,-31,9,36,-25,-10,35,51,-18,-59,-28,-24
-43,-36,7,40,-25,-14,37,45,-22,-61,-30,-28
-47,-42,5,44,-26,-18,37,40,-27,-63,-33,-32
-50,-47,2,48,-26,-22,37,34,-32,-66,-36,-36
-52,-53,0,52,-25,-26,37,29,-37,-69,-40,-38
-53,-58,-4,55,-24,-31,36,24,-42,-73,-43,-40
-54,-61,-7,57,-23,-34,34,19,-47,-77,-47,-43
-54,-63,-8,59,-22,-35,33,17,-51,-80,-50,-44
-54,-63,-8,59,-22,-36,32,15,-53,-82,-53,-46
