,,,,,,,,,,,
2019-09-01 15:31:29,,,,,,,,,,,
,,,,,,,,,,,
I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-1,-2,0,1,0,-1,0,-1,-3,-2,-5,-3
-6,-9,-3,7,-1,-6,-2,-8,-15,-10,-24,-16
-14,-20,-6,17,-3,-13,-5,-19,-34,-22,-54,-35
-23,-33,-10,28,-6,-22,-8,-30,-55,-37,-87,-57
-30,-46,-15,38,-7,-30,-12,-41,-75,-50,-119,-77
-35,-56,-20,45,-7,-38,-16,-51,-93,-63,-146,-96
-37,-63,-25,50,-6,-44,-19,-59,-108,-73,-169,-111
-38,-67,-28,53,-4,-48,-21,-65,-119,-81,-185,-122
-39,-69,-30,54,-4,-49,-23,-71,-127,-86,-196,-129
-39,-70,-29,55,-5,-49,-23,-76,-132,-89,-203,-133
-40,-69,-28,54,-5,-48,-23,-79,-135,-91,-205,-135
-39,-66,-27,53,-5,-46,-22,-81,-135,-91,-206,-134
-38,-64,-25,51,-6,-44,-21,-82,-134,-90,-204,-133
-38,-63,-24,51,-6,-43,-19,-81,-133,-90,-203,-133
-40,-63,-22,52,-8,-43,-17,-80,-131,-90,-201,-134
-42,-64,-22,53,-9,-43,-15,-78,-129,-90,-199,-135
-42,-64,-21,53,-10,-42,-12,-76,-127,-90,-198,-136
-41,-61,-19,51,-10,-40,-8,-73,-125,-88,-195,-135
-39,-56,-16,48,-10,-36,-3,-71,-122,-85,-192,-134
-37,-49,-12,43,-12,-30,2,-67,-118,-81,-188,-131
-36,-42,-6,39,-14,-24,8,-64,-113,-75,-183,-127
-35,-34,0,35,-17,-17,14,-61,-108,-69,-177,-123
-34,-26,6,30,-20,-10,18,-58,-103,-63,-173,-118
-32,-19,12,26,-22,-3,22,-55,-98,-59,-169,-113
-31,-14,16,23,-24,1,25,-52,-94,-57,-166,-109
-30,-9,19,19,-24,4,29,-48,-90,-55,-163,-104
-27,-4,22,15,-24,8,32,-45,-88,-53,-161,-101
-24,0,24,11,-24,12,35,-42,-86,-52,-159,-97
-22,3,26,9,-24,14,36,-42,-85,-51,-158,-95
-22,4,27,9,-24,15,34,-44,-87,-52,-156,-93
-22,5,27,8,-25,16,31,-48,-88,-52,-155,-92
-22,5,28,8,-25,16,27,-51,-89,-52,-154,-90
-20,7,28,6,-24,17,23,-52,-89,-52,-151,-88
-17,10,28,3,-23,19,20,-51,-87,-50,-148,-85
-14,13,28,0,-21,20,18,-49,-85,-49,-145,-83
-10,15,25,-2,-18,20,15,-47,-83,-48,-144,-81
-6,15,21,-4,-14,18,13,-45,-83,-49,-144,-80
-2,13,15,-4,-9,14,12,-43,-82,-50,-143,-80
0,9,8,-4,-4,9,12,-41,-82,-50,-143,-79
4,6,0,-5,2,3,12,-39,-81,-49,-142,-78
9,2,-7,-5,8,-2,12,-37,-79,-48,-139,-75
14,0,-14,-6,14,-7,12,-36,-77,-47,-137,-73
19,-1,-21,-8,20,-11,11,-35,-75,-46,-135,-70
23,-3,-27,-9,25,-15,8,-36,-74,-46,-134,-69
26,-5,-32,-9,29,-18,6,-38,-75,-48,-134,-68
27,-9,-37,-8,32,-23,3,-41,-77,-51,-136,-69
24,-16,-41,-3,32,-28,0,-46,-81,-56,-139,-71
19,-23,-43,2,31,-33,-4,-52,-87,-60,-142,-73
13,-30,-43,8,28,-36,-6,-58,-92,-64,-144,-74
6,-35,-42,14,24,-38,-7,-63,-96,-67,-145,-75
-1,-39,-38,20,18,-39,-7,-67,-100,-69,-147,-76
-10,-44,-33,27,11,-38,-5,-70,-103,-71,-148,-79
-19,-48,-29,34,4,-39,-3,-72,-105,-73,-151,-82
-26,-53,-26,40,0,-40,-1,-74,-107,-76,-154,-86
-31,-58,-26,44,-2,-42,0,-75,-110,-80,-157,-90
-35,-62,-27,48,-3,-45,2,-75,-113,-84,-160,-95
-39,-68,-28,53,-4,-48,4,-75,-116,-87,-163,-99
-43,-73,-30,58,-5,-52,5,-77,-119,-90,-166,-102
-45,-79,-33,62,-5,-56,5,-79,-123,-94,-168,-106
-46,-83,-36,64,-4,-60,4,-83,-127,-96,-170,-109
-45,-86,-40,66,-2,-63,2,-87,-130,-98,-171,-111
-44,-88,-43,66,0,-65,0,-90,-133,-99,-172,-112
-44,-89,-45,66,0,-67,-1,-92,-135,-99,-172,-113
-43,-90,-46,67,1,-68,-3,-92,-136,-99,-171,-113
-43,-91,-47,68,1,-69,-4,-92,-137,-100,-171,-113
-45,-94,-47,69,1,-70,-6,-92,-139,-101,-172,-113
-47,-96,-48,72,0,-72,-6,-92,-141,-102,-173,-113
-49,-98,-49,73,0,-73,-5,-92,-143,-103,-173,-113
-50,-99,-49,75,0,-74,-4,-93,-144,-103,-172,-112
