,,,,,,,,,,,
2019-09-01 15:31:46,,,,,,,,,,,
,,,,,,,,,,,
I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0,0,0,0,0,0,1,2,0,0,-1,-1
-4,-3,0,3,-2,-1,8,10,2,-1,-6,-5
-10,-8,2,9,-6,-2,19,23,6,-1,-13,-12
-17,-13,4,15,-11,-4,32,38,11,-2,-20,-19
-23,-19,4,21,-14,-6,44,54,17,-1,-26,-24
-28,-24,3,26,-16,-10,55,67,23,0,-30,-27
-32,-29,3,30,-17,-12,63,78,27,1,-33,-30
-35,-32,2,33,-18,-14,69,87,31,2,-35,-32
-35,-34,2,34,-18,-15,73,93,34,4,-35,-32
-34,-34,1,34,-17,-15,76,97,36,5,-35,-32
-32,-33,0,32,-16,-16,77,98,37,6,-34,-32
-30,-32,-1,31,-14,-16,76,98,38,6,-33,-32
-29,-31,-1,30,-13,-16,73,95,37,6,-32,-32
-30,-31,0,30,-14,-15,70,92,36,6,-31,-32
-30,-30,0,30,-15,-14,67,88,34,6,-29,-31
-30,-29,1,29,-15,-13,65,86,33,6,-28,-29
-30,-28,2,29,-16,-12,63,84,32,7,-26,-27
-30,-29,1,30,-16,-13,62,82,31,6,-26,-27
-30,-30,0,30,-15,-14,61,80,30,6,-26,-26
-31,-30,0,30,-16,-14,60,79,28,5,-26,-26
-31,-27,3,29,-17,-12,59,78,27,5,-26,-26
-30,-25,4,28,-17,-10,59,77,26,5,-26,-25
-28,-23,4,26,-16,-9,58,75,26,5,-25,-24
-26,-23,2,24,-14,-10,56,73,25,5,-25,-23
-23,-23,0,23,-11,-11,54,70,24,5,-24,-22
-21,-25,-4,23,-8,-14,52,68,23,4,-24,-22
-20,-27,-6,24,-6,-17,49,66,21,3,-24,-22
-23,-28,-5,26,-8,-16,48,65,20,3,-26,-22
-26,-27,-1,27,-12,-13,47,63,19,1,-27,-23
-28,-24,2,26,-15,-10,45,61,17,0,-29,-25
-26,-22,3,25,-15,-9,42,58,14,-1,-32,-27
-26,-21,3,24,-15,-8,39,54,12,-4,-34,-30
-27,-20,6,23,-16,-7,37,51,10,-4,-35,-31
-27,-19,7,23,-17,-6,35,48,9,-5,-35,-31
-25,-19,5,22,-15,-7,32,45,8,-6,-36,-32
-25,-20,4,22,-15,-7,31,43,7,-6,-37,-33
-27,-21,6,24,-17,-7,31,43,8,-6,-37,-32
-29,-22,6,25,-18,-8,32,44,9,-4,-36,-31
-29,-24,5,27,-17,-10,34,46,12,-3,-35,-30
-30,-27,3,29,-17,-12,37,48,14,-1,-35,-29
-32,-30,2,31,-17,-13,38,48,15,-1,-34,-29
-34,-30,4,32,-19,-13,38,46,14,-2,-35,-30
-35,-28,6,32,-21,-11,36,42,13,-3,-37,-33
-35,-26,8,30,-21,-9,34,38,11,-5,-39,-35
-34,-25,8,30,-21,-8,32,35,10,-5,-40,-37
-33,-27,6,30,-19,-10,31,34,10,-5,-40,-37
-32,-30,2,31,-17,-13,31,34,11,-4,-39,-37
-32,-34,-2,33,-14,-17,31,34,12,-4,-38,-36
-32,-36,-4,34,-13,-19,32,35,12,-4,-38,-37
-32,-37,-4,34,-13,-20,32,34,12,-4,-39,-38
-34,-39,-4,36,-14,-21,32,33,11,-5,-40,-40
-36,-41,-5,38,-15,-23,32,30,9,-6,-41,-41
-37,-43,-5,40,-16,-24,30,27,7,-7,-42,-43
-38,-45,-6,41,-15,-25,28,24,5,-9,-43,-44
-37,-45,-8,41,-14,-27,25,21,3,-10,-44,-44
-36,-45,-9,40,-13,-27,24,20,1,-11,-45,-45
-33,-44,-10,38,-11,-27,24,19,0,-12,-46,-46
-32,-41,-9,36,-10,-25,25,20,0,-13,-48,-47
-32,-38,-5,35,-13,-21,28,22,0,-13,-48,-48
-36,-35,0,35,-18,-17,31,24,0,-12,-48,-48
-39,-37,2,38,-21,-17,34,26,1,-12,-48,-48
-41,-40,0,41,-20,-20,35,25,0,-12,-47,-48
-40,-45,-4,42,-18,-24,35,23,-1,-13,-48,-48
-39,-48,-8,43,-15,-28,33,20,-3,-14,-48,-49
-38,-49,-10,43,-13,-30,31,18,-5,-15,-48,-48
-38,-49,-10,43,-13,-30,31,17,-5,-14,-47,-47
-35,-46,-10,41,-12,-28,30,17,-7,-15,-47,-47
-33,-44,-10,38,-11,-27,29,16,-8,-17,-49,-47
-31,-44,-12,37,-9,-28,29,17,-9,-18,-50,-48
-31,-44,-13,37,-8,-28,30,17,-9,-19,-51,-48
-32,-45,-12,39,-9,-28,31,17,-9,-19,-52,-47
-36,-47,-11,41,-12,-28,32,17,-8,-18,-51,-45
-39,-49,-9,44,-14,-29,33,17,-8,-17,-50,-43
-42,-51,-8,46,-16,-29,33,17,-7,-15,-48,-40
-44,-51,-7,48,-18,-29,32,16,-6,-14,-46,-38
-45,-51,-5,48,-19,-28,31,16,-6,-14,-46,-37
-46,-50,-4,48,-20,-27,30,16,-6,-14,-47,-37
-48,-51,-3,49,-22,-27,31,16,-6,-14,-48,-37
-48,-52,-3,50,-22,-27,34,18,-6,-14,-48,-35
-47,-51,-4,49,-20,-28,37,20,-4,-13,-47,-33
-43,-51,-7,47,-17,-29,40,22,-3,-12,-46,-32
-39,-51,-10,45,-14,-31,41,21,-3,-12,-46,-31
-37,-50,-13,44,-11,-32,39,19,-4,-12,-46,-31
-35,-50,-15,43,-9,-33,37,16,-6,-13,-47,-33
-34,-50,-16,42,-8,-33,33,12,-9,-16,-49,-35
-34,-51,-16,43,-8,-34,29,9,-12,-18,-50,-37
-36,-52,-15,44,-10,-34,28,8,-13,-18,-51,-38
-39,-52,-12,45,-12,-32,28,10,-14,-19,-51,-39
-41,-50,-8,45,-16,-29,29,11,-14,-19,-52,-40
-46,-48,-2,46,-21,-24,30,12,-14,-19,-52,-41
-49,-47,2,48,-25,-22,31,13,-14,-19,-53,-42
-52,-48,3,50,-27,-22,32,12,-14,-19,-52,-42
-53,-50,3,51,-27,-23,32,12,-14,-18,-51,-41
-52,-50,2,51,-27,-24,32,11,-14,-17,-50,-40
-51,-49,1,50,-25,-24,31,9,-13,-17,-49,-40
-50,-48,1,49,-25,-23,30,8,-13,-17,-48,-40
-50,-48,2,49,-26,-23,30,7,-13,-17,-47,-41
-52,-49,2,50,-27,-23,31,8,-11,-16,-47,-41
-53,-50,2,51,-27,-23,33,9,-10,-16,-46,-41
-54,-52,2,53,-28,-24,35,11,-8,-15,-45,-41
-55,-54,1,55,-28,-26,37,12,-6,-14,-44,-41
-55,-58,-2,56,-26,-30,38,11,-6,-15,-44,-41
-53,-61,-8,57,-22,-34,37,9,-7,-15,-44,-41
-49,-62,-12,56,-18,-37,35,6,-7,-16,-44,-42
-45,-62,-16,54,-14,-39,33,4,-7,-16,-43,-42
-41,-60,-18,51,-11,-39,33,4,-7,-15,-42,-41
-39,-57,-17,48,-10,-37,34,5,-4,-13,-39,-40
-38,-53,-14,46,-12,-33,38,9,-1,-11,-37,-38
-39,-48,-9,43,-14,-29,43,14,1,-9,-35,-37
-41,-43,-1,42,-19,-22,50,19,5,-6,-33,-36
-46,-37,9,41,-27,-13,57,24,9,-3,-30,-34
-49,-29,20,39,-34,-4,63,27,13,0,-27,-32
-50,-22,28,36,-39,2,69,29,15,2,-24,-30
-51,-16,34,33,-42,8,72,30,17,4,-22,-29
-50,-12,38,30,-44,13,75,30,18,6,-20,-29
-49,-8,40,28,-45,15,77,31,19,8,-19,-28
-47,-7,40,26,-44,16,80,34,21,10,-17,-27
-46,-6,40,25,-43,16,84,37,24,12,-16,-26
-44,-5,39,24,-42,16,89,42,27,15,-13,-24
-42,-3,39,22,-41,17,95,46,31,18,-10,-21
-41,0,40,20,-40,19,99,50,34,21,-7,-19
-38,3,42,16,-40,22,102,52,37,24,-5,-17
-34,9,44,11,-39,26,103,53,40,27,-2,-17
-30,16,46,6,-38,31,104,55,44,31,1,-15
-26,23,49,1,-37,36,104,57,49,36,6,-11
-22,30,52,-3,-37,41,104,59,55,41,12,-7
-17,36,55,-9,-36,45,101,61,60,46,17,-3
-14,42,56,-13,-35,49,98,62,64,50,22,0
-9,45,56,-17,-32,50,94,63,66,52,25,2
-4,46,51,-20,-27,48,87,61,66,53,26,3
2,45,43,-23,-20,44,78,57,64,51,25,3
8,42,34,-24,-13,38,66,49,59,48,24,2
13,39,25,-26,-6,32,52,40,54,45,22,0
19,37,18,-27,0,27,37,31,47,41,21,-1
20,35,15,-27,2,24,24,21,41,38,20,-2
18,34,15,-26,1,24,14,14,36,34,19,-3
15,33,18,-24,-2,26,6,7,30,31,17,-5
11,33,22,-22,-5,28,1,0,25,26,15,-7
8,34,26,-20,-9,30,-2,-5,18,20,10,-10
6,36,29,-20,-11,32,-4,-11,11,14,5,-15
4,37,32,-20,-14,34,-6,-18,5,8,0,-19
2,36,34,-19,-15,35,-7,-24,0,3,-3,-22
1,33,32,-17,-15,32,-8,-30,-5,0,-5,-24
0,26,26,-13,-13,26,-8,-34,-8,-2,-8,-26
-1,18,19,-8,-10,18,-8,-37,-11,-5,-11,-29
-4,8,12,-2,-8,10,-8,-39,-14,-7,-13,-32
-7,0,7,3,-7,4,-6,-38,-15,-8,-15,-34
-11,-5,5,8,-8,0,-3,-36,-14,-8,-16,-36
-15,-9,5,12,-10,-1,0,-33,-14,-9,-18,-39
-19,-11,8,15,-14,-1,3,-31,-14,-10,-21,-43
-25,-12,12,18,-18,0,5,-31,-15,-12,-24,-47
-30,-15,14,22,-22,0,7,-31,-15,-13,-26,-50
-34,-19,15,27,-24,-2,9,-32,-16,-14,-27,-52
-39,-23,15,31,-27,-4,10,-33,-17,-14,-28,-53
-43,-27,14,35,-28,-6,9,-36,-18,-15,-29,-55
-44,-32,12,38,-27,-9,9,-39,-20,-17,-31,-58
-45,-36,8,40,-26,-13,9,-40,-21,-19,-33,-60
-47,-41,5,44,-26,-17,12,-39,-20,-20,-34,-62
-49,-47,2,48,-25,-22,14,-37,-19,-22,-36,-65
-49,-52,-2,51,-23,-27,17,-35,-19,-23,-38,-68
-51,-58,-6,54,-22,-31,20,-33,-18,-24,-39,-70
-55,-65,-9,60,-22,-37,23,-31,-17,-24,-39,-71
-58,-73,-15,66,-21,-44,24,-30,-18,-24,-39,-71
-57,-79,-21,68,-18,-50,23,-31,-19,-25,-40,-72
-56,-82,-25,69,-15,-54,21,-33,-21,-27,-41,-73
-54,-82,-27,68,-13,-55,18,-34,-22,-29,-42,-74
-53,-82,-28,67,-12,-55,18,-33,-23,-30,-43,-75
-54,-81,-26,67,-13,-54,20,-30,-21,-30,-43,-76
-58,-82,-23,70,-16,-53,24,-25,-19,-29,-42,-75
-59,-84,-24,72,-17,-54,29,-20,-16,-28,-41,-75
-58,-86,-27,72,-14,-57,32,-17,-15,-27,-40,-75
-56,-88,-31,72,-12,-59,35,-16,-14,-26,-40,-74
-57,-90,-32,73,-12,-61,36,-15,-13,-24,-38,-73
-58,-90,-31,74,-13,-61,37,-14,-11,-22,-36,-71
-60,-88,-28,74,-15,-58,37,-14,-10,-20,-34,-69
-61,-85,-23,73,-18,-54,37,-13,-9,-18,-33,-68
-62,-82,-19,72,-20,-51,37,-12,-7,-18,-32,-67
-62,-79,-16,71,-22,-47,37,-11,-7,-18,-34,-68
-64,-78,-13,71,-24,-46,38,-10,-7,-20,-36,-71
-66,-79,-12,73,-26,-45,39,-8,-6,-20,-37,-72
-69,-81,-11,75,-28,-46,41,-6,-5,-20,-38,-74
-70,-82,-11,76,-29,-47,43,-3,-4,-20,-39,-75
-70,-85,-14,78,-27,-49,50,5,0,-19,-41,-79
-72,-89,-17,80,-26,-53,64,23,9,-17,-44,-84
-76,-96,-19,86,-27,-58,89,56,27,-12,-47,-92
-85,-104,-18,95,-33,-61,126,104,53,-5,-52,-104
-99,-111,-12,105,-43,-61,168,161,86,4,-56,-117
-111,-113,-2,112,-54,-57,211,222,124,21,-54,-126
-118,-108,9,113,-63,-49,251,288,169,48,-40,-125
-117,-96,20,106,-68,-38,286,361,225,92,-8,-110
-102,-78,24,90,-63,-27,315,443,296,158,46,-75
-73,-52,20,62,-46,-16,336,531,382,248,126,-19
-27,-17,9,22,-18,-4,347,614,479,359,230,58
35,26,-7,-31,21,9,341,675,579,489,358,158
112,78,-33,-95,72,22,310,693,671,632,508,280
206,137,-69,-171,138,33,247,655,746,784,678,424
318,202,-115,-260,216,43,148,557,800,941,863,588
439,273,-164,-356,302,53,15,404,826,1088,1048,762
558,345,-212,-451,385,66,-139,210,812,1201,1210,929
662,412,-249,-537,456,80,-302,-9,754,1258,1324,1069
738,466,-270,-602,504,97,-454,-238,652,1247,1375,1169
778,503,-274,-640,526,113,-589,-469,505,1165,1355,1217
783,517,-265,-650,524,125,-707,-706,312,1012,1263,1210
758,505,-252,-631,505,125,-813,-944,79,797,1106,1150
710,464,-245,-586,477,109,-909,-1176,-181,535,897,1044
648,398,-249,-523,449,73,-1000,-1397,-458,243,653,901
584,313,-270,-449,427,21,-1091,-1598,-733,-53,395,736
525,217,-306,-371,416,-44,-1177,-1767,-984,-331,143,565
471,118,-352,-294,412,-117,-1252,-1891,-1190,-570,-82,400
419,25,-393,-222,406,-183,-1302,-1961,-1338,-754,-271,251
368,-49,-418,-158,393,-233,-1316,-1969,-1419,-876,-414,123
316,-101,-418,-107,367,-260,-1287,-1909,-1429,-933,-508,22
265,-128,-395,-68,330,-261,-1215,-1789,-1375,-932,-555,-50
216,-135,-352,-39,284,-244,-1111,-1624,-1273,-884,-561,-97
170,-129,-300,-20,235,-214,-985,-1432,-1138,-803,-538,-124
130,-113,-244,-7,188,-179,-847,-1229,-986,-705,-496,-138
96,-93,-189,-1,143,-141,-707,-1026,-830,-600,-445,-142
67,-71,-139,2,103,-105,-571,-836,-680,-498,-391,-141
42,-53,-96,5,69,-74,-445,-665,-543,-402,-337,-135
19,-40,-60,10,39,-50,-333,-515,-422,-317,-287,-126
-4,-33,-29,18,13,-31,-237,-389,-318,-243,-241,-116
-23,-30,-7,27,-7,-19,-159,-289,-234,-183,-203,-106
-36,-32,3,34,-19,-14,-98,-211,-168,-136,-171,-98
-42,-35,6,39,-24,-14,-52,-151,-118,-100,-147,-92
-45,-39,6,41,-25,-16,-18,-106,-79,-73,-127,-87
-46,-42,3,44,-25,-19,8,-71,-49,-52,-112,-82
-47,-46,1,46,-24,-22,28,-43,-27,-37,-100,-79
-48,-50,-1,49,-23,-26,43,-22,-11,-28,-93,-78
-50,-53,-3,51,-23,-28,54,-6,-1,-24,-89,-79
-52,-54,-2,53,-24,-28,61,4,4,-22,-88,-81
-53,-55,-2,54,-25,-28,66,12,8,-21,-88,-84
-51,-57,-5,54,-23,-31,69,16,10,-21,-88,-85
