,,,,,,,,,,,
2019-09-01 15:31:37,,,,,,,,,,,
,,,,,,,,,,,
I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0,0,0,0,0,0,1,0,0,-1,-2,-2
-3,0,3,2,-3,1,8,3,-3,-8,-10,-10
-8,-1,6,4,-7,2,19,7,-8,-18,-24,-22
-13,-3,9,8,-11,2,31,11,-14,-30,-41,-38
-18,-6,11,12,-14,2,41,14,-20,-42,-59,-55
-22,-11,10,17,-16,0,51,17,-25,-55,-78,-71
-26,-18,8,22,-17,-5,58,18,-31,-68,-95,-86
-30,-24,5,27,-17,-9,64,19,-38,-81,-109,-98
-32,-28,3,30,-17,-12,68,19,-45,-91,-118,-106
-33,-31,1,32,-17,-14,71,18,-51,-98,-123,-111
-33,-32,0,32,-16,-15,73,17,-56,-102,-124,-111
-32,-31,1,31,-16,-15,74,16,-59,-104,-122,-109
-31,-30,0,31,-15,-14,73,14,-62,-104,-118,-106
-30,-30,0,30,-14,-15,71,11,-63,-102,-114,-103
-29,-31,-2,30,-13,-16,69,9,-64,-101,-111,-101
-29,-32,-3,30,-12,-18,67,7,-64,-101,-111,-101
-29,-34,-4,32,-11,-19,66,5,-65,-103,-114,-103
-31,-37,-5,34,-12,-21,65,4,-67,-107,-119,-107
-32,-40,-6,36,-12,-23,65,2,-69,-113,-125,-110
-33,-42,-8,38,-11,-25,65,1,-72,-118,-131,-114
-33,-44,-11,39,-10,-27,64,0,-75,-122,-134,-115
-32,-45,-12,39,-9,-28,63,0,-76,-124,-135,-116
-31,-44,-12,38,-9,-28,61,0,-76,-125,-135,-115
-30,-43,-11,37,-8,-27,60,0,-75,-125,-135,-114
-30,-43,-11,36,-8,-27,60,1,-73,-125,-135,-114
-31,-43,-11,37,-9,-27,59,2,-71,-127,-138,-115
-32,-45,-12,39,-9,-28,58,4,-70,-131,-142,-119
-34,-48,-13,41,-9,-30,59,6,-69,-135,-148,-123
-35,-49,-14,42,-9,-31,61,9,-67,-138,-152,-127
-35,-51,-15,43,-9,-33,63,13,-64,-139,-154,-130
-34,-53,-17,43,-8,-35,65,17,-60,-138,-154,-132
-34,-55,-20,44,-6,-37,67,21,-56,-135,-151,-132
-33,-56,-22,44,-4,-39,68,25,-51,-131,-146,-129
-32,-56,-24,44,-3,-40,69,29,-46,-126,-141,-126
-30,-54,-23,42,-3,-39,70,33,-40,-121,-136,-123
-30,-52,-21,41,-3,-37,71,37,-35,-117,-134,-122
-31,-50,-19,40,-5,-35,74,41,-30,-116,-135,-122
-33,-50,-16,41,-7,-33,77,44,-26,-116,-138,-124
-37,-51,-14,44,-10,-33,80,47,-24,-117,-141,-126
-40,-53,-12,47,-13,-33,82,50,-22,-117,-143,-128
-42,-54,-11,48,-15,-33,83,52,-21,-118,-144,-129
-42,-53,-10,48,-15,-32,83,53,-20,-117,-144,-129
-41,-51,-9,46,-15,-30,81,53,-18,-114,-140,-126
-39,-47,-8,43,-15,-27,80,54,-15,-110,-136,-123
-37,-43,-5,40,-15,-24,78,55,-11,-105,-131,-119
-35,-38,-2,37,-16,-20,77,56,-7,-100,-128,-115
-33,-35,-1,34,-15,-18,76,58,-3,-98,-127,-112
-32,-32,0,32,-15,-16,76,59,-1,-97,-127,-110
-31,-30,0,31,-15,-15,77,60,0,-97,-127,-110
-31,-29,0,30,-15,-14,78,62,2,-96,-127,-109
-31,-29,2,30,-16,-13,79,63,3,-95,-125,-109
-33,-28,4,31,-18,-11,79,64,5,-92,-121,-107
-34,-27,6,30,-19,-10,78,64,7,-89,-116,-104
-33,-24,8,29,-21,-7,77,64,9,-84,-110,-101
-32,-19,12,26,-22,-3,76,64,12,-79,-104,-96
-31,-14,16,23,-23,0,75,64,14,-75,-98,-93
-30,-10,19,20,-24,4,74,64,15,-73,-95,-90
-28,-8,19,18,-24,5,74,63,16,-72,-94,-89
-26,-7,18,17,-22,5,73,63,15,-72,-93,-88
-24,-7,16,16,-20,4,72,62,13,-73,-92,-87
-22,-8,14,15,-18,3,72,61,12,-74,-90,-84
-21,-7,13,14,-17,3,71,61,11,-74,-87,-80
-20,-5,14,12,-17,4,70,61,10,-72,-82,-75
-20,-3,17,11,-18,7,68,61,11,-69,-77,-70
-20,0,19,9,-20,9,66,60,12,-64,-72,-66
-19,2,22,8,-21,12,64,60,15,-60,-68,-64
-19,4,24,6,-22,14,62,59,16,-59,-67,-64
-19,6,26,5,-22,16,61,58,17,-60,-67,-65
-18,8,27,4,-23,18,59,56,17,-63,-68,-68
-18,9,28,3,-23,18,58,54,16,-64,-68,-70
-17,9,27,3,-22,18,57,52,14,-65,-67,-71
-16,9,26,2,-21,18,56,50,13,-64,-65,-70
-15,9,26,2,-21,18,55,48,13,-62,-61,-68
-15,9,26,2,-20,17,55,46,14,-58,-57,-64
-15,9,25,2,-20,17,56,45,17,-55,-53,-60
-15,8,24,3,-20,16,57,45,19,-52,-50,-55
-15,8,24,2,-19,16,58,45,21,-51,-50,-51
-13,7,22,2,-18,15,59,44,22,-52,-50,-48
-12,6,19,2,-16,13,59,43,21,-54,-52,-46
-11,5,17,2,-15,11,59,42,20,-56,-53,-46
-11,4,16,3,-14,10,58,40,20,-57,-54,-47
-11,3,15,3,-13,9,58,38,20,-57,-53,-48
-10,3,15,3,-13,9,57,36,21,-56,-52,-48
-10,4,15,2,-12,10,57,34,22,-54,-50,-48
-9,6,16,1,-12,11,56,32,24,-53,-49,-48
-9,6,16,1,-12,11,55,30,25,-53,-51,-49
-9,5,15,2,-12,10,55,28,25,-56,-55,-52
-11,2,13,4,-12,7,54,27,23,-61,-61,-57
-12,-2,10,7,-11,4,54,24,20,-68,-68,-62
-14,-6,8,10,-11,1,53,22,17,-73,-72,-65
-16,-8,7,12,-11,0,53,20,14,-76,-73,-67
-16,-8,8,12,-12,0,51,18,12,-77,-71,-66
-16,-6,9,11,-12,1,50,15,10,-77,-69,-65
-15,-3,11,9,-13,4,48,13,10,-76,-67,-63
-15,0,14,7,-14,7,46,12,10,-75,-68,-63
-14,2,16,6,-15,9,46,12,11,-74,-72,-63
-14,2,16,6,-15,9,46,11,11,-75,-77,-65
-15,0,15,7,-14,7,46,11,10,-77,-83,-68
-16,-3,12,9,-14,4,46,11,8,-80,-89,-70
-18,-7,10,12,-13,1,47,11,5,-84,-93,-72
-18,-10,7,14,-13,-1,47,10,2,-85,-95,-72
-19,-13,5,15,-12,-3,47,10,0,-84,-93,-71
-18,-14,4,16,-11,-5,45,8,-1,-80,-89,-70
-18,-14,3,16,-10,-5,44,7,-2,-77,-85,-68
-17,-13,3,15,-10,-5,42,5,-2,-73,-81,-66
-16,-12,3,14,-9,-4,41,4,-3,-72,-79,-64
-15,-11,2,13,-8,-4,40,3,-4,-74,-80,-63
-13,-11,1,12,-7,-4,39,2,-7,-78,-84,-64
-12,-12,0,12,-6,-6,38,1,-11,-82,-87,-66
-12,-14,-1,13,-5,-7,37,0,-15,-86,-90,-67
-12,-17,-3,15,-4,-10,36,-1,-19,-89,-92,-69
-13,-20,-5,17,-3,-13,35,-2,-22,-90,-92,-69
-14,-22,-7,18,-3,-15,34,-3,-24,-90,-90,-68
-15,-24,-8,20,-3,-16,32,-5,-25,-90,-87,-67
-16,-24,-7,20,-3,-16,30,-6,-26,-89,-85,-67
-16,-22,-5,19,-5,-14,29,-7,-26,-89,-85,-67
-16,-21,-3,18,-6,-12,28,-8,-28,-91,-87,-68
-16,-21,-3,19,-6,-12,27,-9,-30,-95,-91,-69
-16,-23,-5,19,-5,-14,26,-11,-33,-100,-96,-72
-17,-26,-7,21,-4,-17,25,-13,-37,-105,-101,-75
-18,-29,-10,24,-3,-20,24,-14,-40,-108,-104,-78
-18,-32,-12,25,-2,-22,24,-14,-41,-107,-105,-80
-19,-34,-14,26,-2,-24,25,-13,-41,-104,-102,-80
-19,-34,-14,27,-2,-24,25,-13,-38,-100,-99,-79
-19,-35,-14,27,-2,-25,26,-12,-36,-96,-96,-78
-20,-34,-13,27,-2,-24,26,-12,-33,-94,-95,-77
-20,-33,-12,27,-3,-23,27,-11,-31,-95,-96,-77
-21,-33,-11,27,-4,-22,28,-11,-30,-98,-99,-77
-23,-34,-11,29,-5,-23,29,-10,-29,-101,-102,-78
-24,-36,-11,30,-5,-23,30,-10,-28,-102,-104,-78
-24,-36,-11,30,-6,-24,30,-9,-28,-102,-104,-78
-25,-37,-11,31,-6,-24,29,-10,-28,-102,-102,-77
-25,-37,-11,31,-6,-24,28,-9,-28,-99,-98,-75
-24,-36,-11,30,-6,-24,27,-9,-27,-96,-93,-72
-23,-35,-11,29,-5,-23,26,-8,-25,-92,-89,-70
-22,-34,-11,28,-5,-23,24,-8,-23,-89,-88,-69
-21,-34,-12,27,-4,-23,24,-7,-22,-88,-88,-68
-20,-34,-13,27,-3,-23,23,-5,-20,-88,-89,-68
-20,-35,-13,27,-3,-24,23,-4,-20,-90,-91,-68
-20,-35,-14,28,-2,-25,23,-4,-20,-91,-92,-69
-20,-36,-15,28,-2,-25,23,-3,-20,-93,-93,-70
-20,-37,-15,28,-1,-26,22,-3,-21,-94,-93,-72
-20,-36,-15,28,-1,-25,22,-3,-20,-93,-92,-74
-19,-35,-15,27,-1,-25,21,-3,-19,-91,-90,-75
-18,-33,-14,25,-1,-23,22,-2,-16,-88,-87,-75
-17,-30,-12,24,-2,-21,23,0,-12,-84,-85,-74
-16,-25,-8,21,-3,-17,26,1,-7,-81,-83,-72
-15,-20,-4,17,-5,-12,29,4,-3,-79,-82,-69
-14,-15,-1,14,-6,-8,32,8,0,-79,-81,-65
-12,-11,1,11,-6,-4,36,12,2,-78,-81,-61
-11,-7,3,9,-7,-2,39,16,5,-77,-80,-58
-9,-4,4,6,-7,0,43,19,9,-75,-77,-55
-7,0,7,3,-7,4,45,23,13,-71,-73,-51
-5,8,13,-1,-8,10,46,26,19,-64,-68,-47
-3,17,20,-6,-11,18,47,29,25,-58,-62,-44
-2,26,29,-11,-15,27,48,32,31,-52,-58,-43
-2,34,36,-15,-19,35,49,35,36,-48,-57,-43
-3,40,43,-18,-22,41,52,37,39,-47,-56,-45
-3,44,47,-19,-25,45,55,40,41,-47,-57,-45
-3,45,49,-20,-26,47,58,42,41,-47,-57,-45
-4,45,49,-19,-27,47,61,44,41,-48,-56,-43
-5,41,47,-17,-26,44,60,43,39,-49,-55,-41
-6,36,42,-14,-24,39,56,40,36,-49,-55,-40
-5,31,36,-12,-20,34,50,36,34,-49,-53,-39
-2,29,32,-13,-17,31,43,32,34,-47,-51,-37
0,31,31,-15,-15,31,36,29,37,-44,-47,-34
3,37,33,-20,-14,35,29,27,40,-39,-43,-30
8,45,36,-26,-13,41,22,25,44,-34,-38,-26
13,54,39,-34,-12,47,14,23,48,-29,-33,-22
20,62,41,-41,-10,52,7,20,49,-25,-28,-17
26,69,42,-48,-8,56,0,17,49,-22,-24,-13
31,74,42,-53,-5,58,-8,13,47,-21,-21,-9
35,75,39,-55,-2,57,-14,8,42,-21,-19,-7
37,74,36,-55,0,55,-18,2,35,-24,-19,-7
37,70,32,-54,1,51,-21,-3,28,-27,-20,-8
35,67,30,-51,2,48,-22,-8,21,-32,-24,-9
32,62,29,-48,1,46,-22,-14,14,-38,-29,-11
29,57,26,-43,0,42,-21,-18,8,-44,-35,-12
27,50,23,-39,1,37,-21,-22,1,-51,-42,-14
25,45,19,-35,2,32,-21,-26,-4,-57,-47,-15
24,41,16,-32,2,29,-21,-29,-9,-62,-51,-15
23,37,13,-30,4,25,-21,-31,-13,-64,-53,-17
23,32,8,-28,7,20,-22,-33,-15,-64,-53,-18
23,27,3,-25,9,15,-22,-34,-16,-63,-52,-20
22,21,0,-21,11,10,-22,-35,-16,-62,-53,-23
19,14,-4,-16,12,4,-21,-36,-18,-63,-56,-28
15,5,-9,-10,12,-1,-20,-36,-21,-69,-62,-34
9,-5,-13,-2,11,-9,-17,-37,-25,-77,-71,-41
2,-15,-17,6,9,-16,-13,-36,-30,-87,-82,-50
-3,-23,-19,14,7,-21,-9,-35,-34,-96,-91,-58
-9,-30,-20,19,5,-25,-5,-34,-37,-101,-98,-65
-13,-35,-21,24,3,-28,-2,-32,-39,-103,-101,-70
