,,,,,,,,,,,
2019-09-01 15:32:02,,,,,,,,,,,
,,,,,,,,,,,
I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-1,-1,0,1,-1,0,2,1,0,-1,-2,-1
-7,-6,0,7,-4,-3,8,4,-2,-9,-10,-7
-15,-15,0,15,-8,-7,17,9,-5,-22,-24,-17
-23,-20,2,22,-12,-9,27,14,-9,-36,-40,-30
-28,-21,6,25,-17,-7,35,19,-12,-48,-55,-42
-33,-20,12,27,-22,-4,43,25,-13,-57,-67,-53
-41,-21,19,31,-29,-1,50,31,-12,-63,-75,-62
-50,-25,24,37,-37,0,56,37,-9,-65,-80,-69
-57,-28,29,43,-43,0,61,42,-5,-65,-83,-74
-63,-30,33,47,-48,1,65,47,-1,-62,-83,-78
-69,-31,37,50,-53,2,69,51,2,-59,-81,-80
-72,-32,40,52,-56,3,72,55,6,-55,-79,-81
-71,-30,41,51,-56,5,72,57,8,-51,-76,-81
-67,-27,39,47,-53,5,71,58,10,-48,-72,-80
-59,-25,34,42,-46,3,70,58,11,-45,-69,-78
-49,-24,25,37,-37,0,69,58,12,-42,-65,-75
-40,-25,14,33,-27,-6,68,59,14,-38,-62,-73
-35,-28,7,31,-21,-10,68,59,17,-34,-58,-71
-36,-29,6,33,-21,-11,68,59,19,-30,-55,-68
-41,-31,9,36,-24,-11,69,59,21,-26,-51,-65
-45,-34,11,40,-28,-11,70,59,23,-24,-49,-62
-50,-37,11,43,-30,-12,70,59,23,-24,-49,-60
-52,-42,9,47,-31,-15,71,58,23,-24,-49,-57
-51,-45,5,48,-28,-20,71,57,22,-24,-49,-54
-45,-43,1,44,-23,-20,70,55,21,-23,-47,-51
-38,-35,2,37,-20,-16,69,55,21,-20,-44,-46
-32,-26,5,29,-19,-10,67,54,21,-18,-41,-43
-28,-18,9,23,-19,-4,66,54,21,-15,-38,-40
-26,-13,12,19,-19,0,66,54,20,-13,-35,-39
-25,-10,13,17,-19,1,66,54,20,-11,-33,-38
-23,-10,12,17,-18,1,67,54,18,-11,-32,-38
-23,-13,9,17,-16,-1,67,52,15,-14,-34,-40
-23,-19,4,21,-13,-7,64,48,9,-19,-38,-45
-25,-26,-1,25,-11,-13,58,41,1,-27,-45,-52
-25,-29,-3,27,-11,-16,52,34,-5,-35,-51,-60
-26,-27,0,26,-12,-13,47,29,-11,-40,-56,-66
-29,-24,5,26,-17,-9,43,25,-14,-43,-59,-71
-36,-25,10,30,-23,-7,40,24,-16,-43,-60,-73
-44,-32,12,38,-28,-10,39,23,-16,-42,-59,-72
-51,-41,10,46,-31,-15,39,24,-17,-41,-58,-71
-56,-48,8,52,-32,-19,40,24,-17,-41,-57,-69
-59,-52,7,55,-33,-22,41,24,-19,-43,-58,-67
-59,-52,7,55,-33,-22,41,23,-22,-45,-59,-66
-56,-50,5,53,-30,-22,40,21,-25,-48,-61,-66
-49,-48,0,49,-24,-23,39,19,-28,-50,-62,-65
-40,-46,-6,43,-16,-26,38,18,-30,-50,-61,-64
-30,-44,-13,37,-8,-28,37,16,-31,-50,-61,-64
-21,-41,-19,31,-1,-30,36,14,-32,-49,-61,-65
-15,-39,-24,27,4,-31,34,12,-34,-49,-62,-67
-12,-41,-29,26,8,-35,32,10,-37,-51,-64,-70
-13,-45,-31,29,8,-38,29,6,-42,-57,-69,-74
-21,-51,-29,35,3,-40,25,2,-48,-65,-77,-80
-29,-53,-23,41,-3,-38,22,0,-54,-73,-83,-84
-32,-48,-15,40,-8,-32,22,1,-55,-77,-86,-84
-29,-39,-9,34,-9,-24,24,4,-54,-78,-85,-81
