,,,,,,,,,,,
2019-09-01 15:32:18,,,,,,,,,,,
,,,,,,,,,,,
I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-235,49,318,42,-265,181,-967,426,-496,-149,131,1421
-223,-52,138,90,-181,43,40,264,-220,-191,-42,23
-223,-94,108,120,-163,7,250,252,-124,-197,-72,-192
-211,-100,96,126,-151,-4,292,252,-70,-197,-78,-222
-169,-94,84,120,-127,-4,322,300,1,-173,-72,-222
-121,-52,84,78,-109,1,340,420,109,-83,-1,-210
-67,55,96,0,-97,55,370,528,241,36,113,-132
-25,151,138,-59,-97,139,394,594,367,150,215,-42
16,217,156,-101,-91,193,406,624,451,258,311,35
76,283,162,-167,-73,229,406,624,529,372,413,125
160,385,174,-263,-31,277,346,624,625,528,551,257
286,499,180,-389,34,325,154,624,751,720,737,431
430,589,180,-521,124,355,-73,618,865,906,917,605
532,655,168,-593,196,379,-265,612,967,1062,1067,755
574,685,150,-629,226,385,-379,612,1069,1158,1145,815
592,685,108,-635,250,379,-451,624,1165,1206,1175,827
592,631,48,-623,262,337,-523,624,1177,1200,1163,821
532,505,6,-533,262,265,-565,564,1087,1002,995,695
454,373,-41,-407,262,163,-577,384,781,660,725,515
370,253,-83,-311,256,97,-571,186,469,324,461,347
280,199,-83,-227,214,73,-517,-5,217,90,275,203
172,157,-59,-161,136,67,-421,-131,55,-65,137,83
88,109,-35,-95,82,61,-325,-203,-40,-137,53,5
40,31,-35,-35,64,19,-241,-215,-76,-167,11,-72
10,-46,-47,6,58,-46,-169,-209,-94,-179,-18,-126
4,-100,-89,36,58,-94,-133,-197,-118,-185,-48,-168
4,-130,-131,48,64,-130,-103,-167,-124,-185,-60,-192
4,-136,-143,54,70,-136,-79,-125,-124,-185,-60,-198
4,-136,-143,54,70,-136,-43,-71,-124,-185,-60,-198
4,-136,-143,54,70,-136,-7,-23,-118,-179,-60,-198
-2,-136,-137,54,70,-130,22,12,-112,-173,-60,-198
-7,-130,-131,54,64,-118,34,30,-106,-167,-60,-198
-13,-124,-107,54,52,-112,46,42,-100,-167,-60,-198
-19,-118,-95,54,46,-106,58,48,-100,-167,-60,-198
-25,-118,-83,54,40,-100,70,54,-94,-167,-60,-198
-37,-118,-71,54,34,-94,76,54,-94,-167,-60,-198
-43,-118,-59,60,22,-94,82,54,-94,-167,-60,-198
-43,-118,-59,60,22,-94,88,54,-94,-167,-60,-198
-43,-118,-59,60,22,-94,94,54,-94,-167,-60,-198
-43,-112,-59,60,22,-94,100,54,-94,-167,-60,-198
-43,-112,-59,60,22,-94,100,54,-94,-167,-60,-198
-43,-112,-71,66,22,-94,106,54,-94,-167,-60,-198
-49,-118,-77,72,22,-94,112,60,-94,-167,-60,-198
-55,-118,-71,72,16,-94,112,60,-100,-167,-60,-198
-55,-112,-59,72,4,-82,112,60,-106,-167,-60,-198
-61,-112,-47,72,-7,-76,118,60,-106,-167,-60,-198
-67,-112,-35,78,-13,-70,124,60,-106,-167,-60,-198
-73,-112,-23,78,-25,-64,124,60,-106,-167,-60,-198
-73,-112,-23,78,-25,-64,124,60,-106,-167,-60,-198
-73,-112,-23,78,-25,-64,124,60,-106,-167,-60,-198
-73,-112,-23,78,-25,-64,124,60,-106,-167,-60,-198
-73,-112,-23,78,-25,-64,124,60,-106,-167,-60,-198
-73,-112,-23,78,-25,-64,124,60,-106,-167,-60,-198
-73,-106,-23,78,-25,-64,124,60,-106,-167,-60,-198
-73,-106,-23,78,-25,-64,124,60,-106,-167,-60,-198
-73,-106,-23,78,-25,-64,124,60,-106,-167,-60,-198
-73,-106,-23,78,-25,-64,124,60,-106,-167,-60,-192
-67,-106,-23,78,-25,-64,124,60,-106,-167,-60,-192
-67,-106,-23,78,-19,-64,124,60,-106,-167,-60,-192
-67,-106,-23,78,-19,-64,124,60,-106,-167,-60,-192
-67,-106,-23,78,-19,-64,124,60,-106,-167,-60,-192
-67,-106,-29,78,-13,-64,124,60,-106,-167,-60,-192
-67,-100,-29,78,-13,-64,124,60,-106,-167,-60,-192
-67,-100,-35,78,-7,-64,124,60,-106,-167,-60,-192
-67,-100,-41,78,-7,-64,124,60,-106,-161,-60,-186
-67,-100,-41,78,-7,-64,124,60,-106,-161,-60,-180
-67,-100,-41,78,-7,-64,124,60,-106,-155,-60,-180
-61,-94,-41,72,-7,-64,124,60,-106,-155,-60,-180
-61,-94,-35,72,-7,-64,124,60,-106,-155,-60,-180
-61,-94,-35,72,-7,-64,124,60,-106,-149,-54,-174
-61,-94,-35,72,-7,-64,124,60,-106,-149,-54,-174
-61,-94,-35,72,-1,-64,124,60,-106,-149,-54,-174
-61,-88,-35,72,-1,-64,124,60,-106,-149,-48,-174
