,,,,,,,,,,,
2019-09-01 15:32:34,,,,,,,,,,,
,,,,,,,,,,,
I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-89,-88,-2,88,-45,-45,3,-123,-89,-131,-119,-119
-107,-100,-2,100,-57,-45,3,-129,-95,-143,-125,-137
-101,-76,16,88,-63,-27,9,-117,-77,-131,-113,-119
-95,-82,4,88,-51,-33,9,-99,-77,-125,-119,-113
-89,-106,-13,94,-33,-63,-3,-111,-101,-143,-143,-143
-83,-106,-19,94,-27,-63,-3,-123,-107,-143,-143,-155
-89,-88,-2,88,-45,-45,3,-117,-89,-125,-119,-137
-83,-94,-7,88,-33,-51,-3,-117,-95,-119,-125,-137
-83,-100,-13,88,-33,-57,-3,-123,-89,-125,-119,-131
-89,-100,-7,94,-39,-57,3,-111,-71,-125,-113,-125
-83,-82,-2,82,-39,-39,15,-99,-59,-113,-107,-107
-83,-88,-2,82,-39,-45,-3,-111,-77,-125,-119,-119
-101,-106,-2,100,-45,-57,-3,-123,-95,-137,-125,-131
-83,-94,-7,88,-33,-51,3,-123,-89,-131,-119,-119
-65,-88,-19,76,-21,-57,-3,-129,-119,-149,-131,-131
-95,-76,10,82,-57,-27,3,-117,-107,-125,-107,-113
-113,-76,28,94,-75,-21,3,-111,-83,-107,-83,-95
-107,-94,4,100,-57,-39,3,-111,-83,-113,-101,-107
-113,-106,-2,106,-57,-51,9,-111,-89,-125,-107,-113
-95,-106,-7,100,-39,-57,15,-105,-77,-113,-107,-101
-83,-106,-19,94,-27,-63,9,-117,-77,-119,-107,-107
-65,-100,-31,82,-15,-69,-3,-123,-95,-131,-119,-113
-71,-88,-13,76,-27,-51,-3,-111,-89,-125,-107,-107
-89,-88,-2,88,-45,-45,3,-105,-83,-119,-107,-101
-107,-82,16,94,-63,-27,3,-105,-101,-131,-113,-107
-113,-88,16,100,-69,-33,9,-105,-101,-119,-113,-113
-125,-94,22,106,-75,-33,21,-99,-77,-107,-113,-131
-113,-94,10,100,-63,-39,27,-93,-77,-107,-119,-137
