,,,,,,,,,,,
2019-09-04 23:16:53,,,,,,,,,,,
,,,,,,,,,,,
I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-133,-17,107,75,-125,35,338,62,20,-141,-129,-56
-127,-6,125,57,-125,59,338,68,38,-123,-111,-44
-121,18,143,45,-131,77,332,68,38,-111,-99,-32
-115,42,161,27,-137,101,302,50,38,-105,-87,-14
-109,60,173,15,-143,113,278,26,38,-105,-87,-8
-103,84,191,3,-149,137,260,14,38,-99,-75,-2
-103,108,215,3,-161,161,254,14,32,-99,-69,4
-103,114,221,3,-161,167,230,3,20,-99,-69,4
-97,120,221,-2,-161,167,194,-27,14,-105,-69,10
-97,126,227,-8,-161,173,164,-51,3,-105,-69,10
-97,132,233,-8,-167,179,158,-63,-3,-105,-63,21
-97,132,233,-8,-167,179,146,-69,-9,-105,-63,21
-91,132,227,-14,-161,179,128,-81,-27,-117,-63,21
-85,120,209,-8,-149,161,110,-93,-39,-123,-63,21
-91,108,203,-2,-149,155,110,-105,-51,-141,-75,21
-91,96,191,3,-143,143,110,-105,-63,-147,-81,16
-91,90,185,3,-137,137,110,-93,-51,-147,-63,21
-91,54,149,9,-119,101,116,-105,-51,-147,-69,16
-79,30,113,15,-95,71,122,-93,-51,-147,-75,-2
-85,6,95,33,-89,47,134,-81,-51,-159,-93,-14
-91,-35,47,63,-71,-1,116,-99,-75,-183,-129,-38
-103,-83,11,93,-59,-30,104,-129,-111,-213,-153,-74
-115,-95,11,105,-65,-36,116,-129,-117,-237,-177,-98
-139,-113,17,123,-83,-42,146,-117,-117,-243,-183,-104
-157,-131,17,141,-89,-54,164,-99,-111,-243,-195,-116
-157,-137,11,147,-89,-60,188,-93,-111,-243,-195,-128
-157,-143,5,147,-83,-66,212,-75,-87,-237,-201,-128
-157,-155,-7,153,-77,-78,230,-51,-75,-237,-201,-134
-157,-173,-12,165,-71,-96,260,-39,-75,-237,-213,-140
-157,-185,-24,171,-65,-108,272,-27,-69,-243,-213,-146
-151,-191,-36,171,-53,-114,290,-15,-75,-237,-213,-158
-151,-203,-48,177,-47,-126,314,3,-63,-237,-213,-152
-151,-197,-42,171,-53,-120,392,44,-45,-237,-213,-152
-151,-203,-48,177,-47,-126,512,104,-27,-237,-213,-158
-163,-221,-54,189,-53,-138,638,146,-27,-237,-213,-164
-163,-221,-54,189,-53,-138,704,164,-27,-243,-219,-170
-175,-221,-42,195,-65,-132,752,188,-9,-243,-219,-170
-175,-221,-42,195,-65,-132,794,236,9,-243,-219,-170
-169,-221,-48,195,-59,-138,830,302,14,-237,-219,-164
-157,-215,-54,183,-47,-138,842,386,44,-225,-225,-164
-121,-197,-72,159,-23,-138,812,470,80,-207,-213,-164
-91,-149,-54,117,-17,-102,710,554,128,-171,-195,-146
-43,-77,-30,57,-5,-54,554,614,188,-135,-159,-122
-2,-17,-18,3,0,-18,350,632,218,-99,-129,-86
22,18,-7,-20,12,5,158,632,236,-75,-105,-74
52,72,11,-62,12,41,-15,650,266,-51,-81,-44
88,138,41,-110,18,89,-237,686,296,-33,-57,-32
106,168,53,-134,18,113,-465,692,290,-21,-39,-14
130,186,47,-158,36,119,-663,692,290,-21,-33,-8
154,222,59,-188,42,143,-831,704,308,-9,-28,4
172,264,89,-218,36,179,-951,752,344,26,-10,21
220,264,41,-236,84,155,-1077,776,392,74,20,51
268,240,-24,-254,150,107,-1197,740,398,104,38,57
292,258,-30,-272,162,113,-1227,686,422,140,68,75
316,312,-7,-314,162,155,-1245,668,506,224,128,111
346,372,17,-356,162,197,-1287,572,584,302,200,159
358,426,59,-392,144,239,-1323,362,614,362,242,195
376,456,71,-416,150,263,-1383,128,620,392,266,231
412,456,35,-434,186,245,-1461,-21,668,452,296,261
496,480,-18,-482,258,227,-1569,-147,764,554,380,309
604,504,-96,-554,348,203,-1725,-411,812,710,470,381
718,510,-204,-614,462,155,-1965,-867,740,860,614,489
826,564,-258,-698,540,149,-2193,-1317,662,1064,788,603
982,660,-324,-818,654,167,-2414,-1629,698,1310,992,753
1138,780,-354,-962,744,215,-2678,-1959,692,1574,1220,939
1276,948,-330,-1112,804,305,-2954,-2426,614,1862,1514,1179
1402,1140,-258,-1268,828,437,-3218,-2954,488,2185,1862,1467
1510,1380,-132,-1448,822,623,-3488,-3488,368,2562,2221,1761
1618,1626,-1,-1622,804,815,-3764,-3890,266,2988,2622,2078
1696,1872,173,-1778,756,1019,-3920,-4136,212,3438,3042,2390
1726,2117,383,-1922,672,1247,-4004,-4334,176,3888,3438,2689
1720,2369,641,-2042,534,1505,-4058,-4514,110,4308,3822,2983
1642,2584,941,-2114,348,1763,-3992,-4610,26,4710,4158,3235
1510,2560,1043,-2036,234,1805,-3716,-4400,86,5147,4428,3331
1354,2147,785,-1748,276,1463,-3224,-3788,470,5633,4536,3181
1192,1692,491,-1442,342,1091,-2702,-3098,896,6005,4512,2953
1036,1494,455,-1262,288,971,-2349,-2678,974,6053,4410,2803
928,1344,413,-1136,252,881,-2073,-2367,866,5735,4164,2617
802,1068,257,-938,264,665,-1749,-1971,722,5063,3672,2294
676,744,65,-710,300,407,-1431,-1581,488,4146,3036,1899
502,492,-7,-494,252,239,-1119,-1257,212,3168,2400,1491
328,270,-54,-296,192,107,-813,-939,3,2065,1670,1053
172,0,-168,-86,168,-78,-513,-609,-105,998,836,531
58,-185,-246,57,150,-216,-291,-321,-51,356,212,105
-2,-203,-210,93,102,-204,-165,-153,14,176,38,-14
-7,-167,-156,87,66,-162,-99,-81,56,200,110,21
-25,-155,-126,87,42,-144,-33,-9,92,206,110,21
-67,-191,-120,129,18,-156,26,74,140,194,74,-2
-103,-209,-102,153,0,-156,92,146,170,140,26,-38
