,,,,,,,,,,,
2019-09-01 15:34:35,,,,,,,,,,,
,,,,,,,,,,,
I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
147,288,137,-221,2,219,152,500,441,463,214,285
141,282,137,-215,-4,213,152,500,435,469,220,285
135,288,149,-215,-4,225,146,482,429,451,208,285
135,264,125,-203,2,201,152,470,417,445,202,279
141,234,89,-191,20,165,152,458,417,439,214,273
141,252,107,-197,14,183,140,416,381,421,190,261
129,252,119,-191,2,189,128,386,345,391,160,231
129,234,95,-179,14,165,134,374,333,379,148,231
117,198,71,-155,20,135,140,356,321,361,142,225
117,186,59,-149,26,123,134,326,279,319,112,195
105,174,59,-137,20,117,116,290,237,289,82,159
87,150,53,-119,14,105,110,272,219,271,64,153
93,144,41,-119,20,93,98,254,183,229,28,123
99,126,17,-113,38,75,80,224,141,211,4,105
75,114,29,-95,20,75,68,194,135,187,4,87
39,102,53,-71,-4,81,74,170,99,169,-1,81
9,90,71,-47,-21,81,68,146,69,151,-25,69
15,72,47,-41,-9,63,56,122,39,127,-43,57
15,54,29,-35,-4,45,62,104,9,91,-61,39
3,30,17,-17,-4,27,68,92,-3,73,-85,21
9,42,23,-23,-4,33,38,56,-38,37,-121,-9
9,24,5,-17,-4,15,32,44,-56,19,-127,-9
-3,-35,-42,12,20,-38,56,62,-44,31,-121,-9
-9,-41,-36,18,8,-38,50,50,-68,19,-133,-9
-32,-11,11,18,-21,-3,26,26,-92,-5,-163,-26
-32,-41,-6,36,-9,-26,32,8,-104,-11,-157,-20
-26,-47,-18,36,-4,-32,38,-4,-116,-11,-163,-26
-32,-41,-6,36,-9,-26,32,-10,-128,-16,-181,-38
-38,-65,-24,48,-4,-44,26,-21,-152,-46,-193,-50
-38,-71,-30,54,-4,-50,32,-21,-158,-52,-205,-56
-32,-53,-18,42,-4,-38,26,-27,-170,-64,-223,-74
-32,-53,-18,42,-4,-38,20,-27,-176,-64,-223,-68
-44,-59,-12,48,-9,-38,8,-27,-182,-70,-229,-80
-44,-83,-36,60,-4,-62,14,-33,-176,-76,-229,-74
-38,-95,-54,66,2,-74,8,-39,-170,-70,-229,-74
-20,-83,-60,48,14,-74,-4,-57,-194,-76,-235,-86
-20,-65,-42,42,2,-56,-4,-69,-206,-88,-241,-86
-26,-71,-42,48,2,-56,-4,-69,-206,-82,-247,-86
-32,-89,-54,60,2,-74,2,-69,-206,-94,-241,-92
-50,-89,-36,66,-4,-62,14,-69,-212,-88,-241,-86
-50,-95,-42,72,-4,-68,14,-63,-206,-88,-247,-92
-50,-95,-42,72,-4,-68,8,-63,-212,-88,-241,-92
-50,-89,-36,66,-4,-62,-4,-63,-212,-94,-247,-98
-44,-83,-36,60,-4,-62,2,-51,-206,-88,-241,-92
-38,-59,-18,48,-4,-38,-4,-69,-212,-94,-241,-98
-32,-65,-30,48,-4,-50,-9,-81,-218,-88,-247,-104
-32,-83,-48,54,2,-68,-4,-81,-212,-82,-241,-92
-38,-95,-54,66,2,-74,2,-69,-200,-70,-235,-86
-26,-83,-54,54,8,-68,-4,-75,-194,-82,-235,-92
-20,-71,-48,42,8,-62,-4,-75,-218,-88,-253,-98
-44,-77,-30,60,-4,-56,-4,-69,-212,-88,-247,-104
-44,-83,-36,60,-4,-62,-4,-63,-206,-76,-235,-92
-44,-89,-42,66,-4,-68,-4,-57,-206,-76,-235,-92
-32,-89,-54,60,2,-74,-4,-63,-218,-88,-247,-104
-32,-77,-42,54,-4,-62,-9,-63,-206,-76,-235,-98
-50,-65,-12,54,-15,-38,-9,-69,-206,-70,-229,-92
-62,-83,-18,72,-15,-50,-4,-57,-194,-64,-223,-80
-62,-89,-24,72,-15,-56,2,-63,-194,-58,-223,-86
-50,-89,-36,66,-4,-62,2,-63,-200,-76,-229,-86
-50,-95,-42,72,-4,-68,8,-57,-206,-64,-223,-80
-38,-83,-42,60,-4,-62,2,-63,-206,-76,-235,-98
-38,-77,-36,54,-4,-56,-4,-63,-212,-76,-229,-98
-44,-83,-36,60,-4,-62,-4,-51,-206,-70,-223,-92
-56,-77,-18,66,-15,-50,-4,-57,-212,-70,-223,-92
-50,-65,-12,54,-15,-38,-4,-63,-212,-70,-223,-92
-38,-59,-18,48,-4,-38,-4,-63,-218,-70,-217,-92
-32,-77,-42,54,-4,-62,-4,-57,-218,-58,-217,-80
-32,-83,-48,54,2,-68,2,-63,-212,-52,-199,-80
-38,-77,-36,54,-4,-56,8,-63,-212,-58,-199,-80
-44,-77,-30,60,-4,-56,2,-63,-224,-64,-217,-86
-44,-71,-24,54,-4,-50,-4,-63,-218,-76,-211,-86
-32,-47,-12,36,-4,-32,-4,-63,-218,-70,-223,-92
-32,-35,-1,30,-9,-20,-4,-57,-218,-70,-223,-98
-38,-71,-30,54,-4,-50,-4,-51,-212,-58,-205,-86
-26,-77,-48,48,2,-62,-4,-57,-206,-58,-199,-86
-14,-77,-60,42,14,-68,-4,-51,-206,-46,-193,-74
-9,-65,-60,30,20,-62,-4,-63,-218,-58,-199,-86
-9,-65,-66,30,26,-62,-9,-81,-218,-58,-199,-86
-14,-71,-54,42,14,-62,-4,-75,-212,-58,-193,-74
-44,-65,-18,54,-9,-44,8,-51,-188,-46,-181,-62
-62,-59,-1,60,-27,-26,8,-39,-176,-46,-169,-68
-56,-71,-12,60,-15,-44,8,-33,-182,-40,-169,-62
-50,-71,-18,60,-9,-44,-4,-39,-188,-40,-175,-68
-44,-53,-6,48,-15,-32,-4,-39,-188,-40,-187,-68
-32,-41,-6,36,-9,-26,-4,-51,-182,-40,-175,-74
-26,-29,-1,24,-9,-14,-4,-57,-182,-34,-169,-62
-26,-11,5,18,-15,-3,-4,-51,-188,-40,-175,-68
-44,-29,5,36,-27,-8,-4,-57,-176,-28,-169,-62
-32,-59,-24,42,-4,-44,2,-51,-164,-22,-163,-56
-26,-59,-30,42,-4,-44,-4,-51,-182,-34,-157,-62
-32,-47,-12,36,-4,-32,-4,-51,-176,-40,-169,-62
-38,-77,-36,54,-4,-56,8,-39,-170,-34,-151,-62
-20,-59,-36,36,2,-50,-4,-45,-170,-28,-151,-62
