,,,,,,,,,,,
2019-09-04 23:12:35,,,,,,,,,,,
,,,,,,,,,,,
I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-6,0,7,3,-7,4,5,2,-4,-8,-8,-5
-30,3,33,13,-31,18,26,9,-19,-38,-38,-23
-67,7,74,30,-71,41,59,20,-45,-85,-86,-51
-108,12,121,47,-114,66,94,30,-74,-138,-139,-82
-146,17,164,64,-155,90,126,37,-104,-189,-189,-111
-177,21,199,77,-188,110,151,40,-130,-232,-231,-135
-199,25,226,86,-213,125,169,39,-151,-265,-263,-152
-213,28,243,92,-228,135,180,36,-166,-288,-284,-162
-219,30,250,94,-235,140,185,32,-176,-301,-296,-166
-219,30,251,93,-235,141,183,26,-181,-306,-299,-165
-214,31,247,91,-230,139,178,20,-181,-303,-296,-161
-206,31,239,86,-223,135,170,14,-177,-296,-288,-155
-197,31,229,82,-213,130,160,8,-172,-285,-277,-147
-187,30,218,77,-202,124,149,2,-166,-272,-264,-138
-177,27,205,73,-191,116,139,-1,-158,-258,-251,-130
-165,25,191,69,-178,108,129,-5,-150,-244,-238,-121
-153,23,177,64,-165,100,120,-7,-141,-229,-224,-112
-139,21,161,58,-150,91,112,-6,-130,-213,-209,-102
-125,20,146,51,-136,83,105,-4,-119,-197,-194,-92
-113,17,131,47,-122,74,98,0,-106,-182,-180,-83
-103,13,116,44,-109,64,91,2,-94,-166,-166,-74
-93,9,103,42,-98,55,85,6,-82,-152,-154,-66
-85,5,91,39,-88,47,78,9,-72,-138,-142,-59
-77,2,80,37,-79,40,73,12,-61,-124,-131,-53
-70,0,70,35,-70,34,68,14,-52,-112,-121,-48
-63,-2,61,33,-62,28,64,17,-44,-100,-112,-43
-56,-4,51,30,-54,23,60,19,-36,-89,-104,-38
-49,-6,42,27,-46,17,56,22,-28,-78,-96,-33
-41,-8,33,25,-37,12,53,26,-19,-68,-88,-28
-34,-10,23,22,-29,6,50,31,-11,-57,-80,-23
-27,-12,14,20,-21,0,47,35,-1,-47,-71,-18
-22,-14,7,18,-14,-3,44,39,7,-36,-64,-13
-17,-15,1,16,-9,-7,42,42,15,-27,-56,-9
-14,-16,-2,15,-5,-9,39,45,22,-18,-51,-5
-11,-17,-6,14,-1,-12,37,46,28,-11,-46,-3
-8,-17,-9,13,1,-13,35,48,34,-4,-42,0
-5,-18,-12,11,3,-15,34,48,39,0,-38,1
-3,-18,-15,10,6,-17,32,48,43,5,-35,3
0,-20,-19,10,9,-19,31,48,48,10,-31,5
1,-21,-22,9,12,-22,30,48,53,15,-28,7
3,-23,-26,9,14,-24,29,49,58,20,-25,10
5,-23,-29,8,17,-26,28,49,63,25,-21,12
7,-24,-32,7,20,-28,27,49,67,29,-17,15
9,-24,-34,7,21,-29,26,48,70,33,-14,18
10,-25,-36,6,23,-30,25,48,72,36,-12,19
11,-25,-37,6,24,-31,24,47,74,38,-11,21
12,-26,-39,6,25,-32,24,46,75,39,-10,21
12,-27,-41,6,26,-34,24,47,76,41,-9,22
13,-28,-43,6,28,-35,24,48,78,43,-8,22
15,-29,-45,6,29,-37,25,50,81,46,-7,22
15,-30,-46,6,31,-38,25,52,84,49,-6,21
16,-31,-47,7,31,-39,25,55,87,52,-4,21
15,-31,-47,7,31,-39,26,56,90,55,-3,20
15,-30,-46,7,30,-38,27,58,91,57,-3,18
13,-30,-44,8,28,-37,27,58,91,57,-4,15
10,-31,-42,9,26,-36,28,58,90,56,-6,12
7,-32,-39,12,23,-35,28,57,88,55,-8,8
4,-33,-38,14,21,-35,28,57,86,53,-10,5
2,-34,-37,15,19,-36,28,58,85,53,-11,2
1,-36,-38,17,19,-37,28,59,85,53,-11,0
1,-37,-39,17,20,-38,28,61,86,55,-10,-1
0,-38,-39,18,20,-39,28,63,87,57,-9,-2
0,-39,-39,19,19,-39,29,65,89,59,-7,-3
0,-39,-38,19,18,-39,29,66,90,61,-5,-4
0,-39,-38,19,18,-38,30,67,90,63,-4,-6
0,-38,-38,19,18,-38,32,67,90,63,-2,-8
0,-38,-38,19,18,-38,33,67,89,63,-1,-10
0,-38,-38,19,18,-38,34,68,87,63,-1,-12
-1,-40,-38,21,17,-39,35,68,86,63,0,-14
-3,-42,-39,22,17,-40,36,69,85,63,0,-16
-4,-44,-40,24,17,-42,36,69,84,64,0,-17
-5,-46,-40,25,17,-43,36,70,83,65,0,-18
-6,-46,-40,26,16,-43,35,69,83,66,0,-20
-7,-47,-38,27,14,-42,34,68,81,66,0,-22
-9,-47,-37,28,13,-42,34,66,80,65,-1,-25
