I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-32,-112,-96,32,0,-112,16,-48,-48,-96,-144,-128
-32,-112,-96,32,0,-96,16,-48,-32,-80,-144,-112
-32,-112,-96,32,0,-96,16,-48,-32,-80,-144,-112
-32,-96,-80,32,0,-80,16,-32,-16,-64,-128,-96
-32,-96,-80,16,0,-80,0,-32,-16,-64,-128,-96
-32,-80,-64,16,0,-64,0,-32,-16,-64,-128,-96
-32,-64,-64,0,0,-64,0,-32,-16,-64,-128,-96
-16,-48,-48,0,0,-48,0,-32,-16,-48,-112,-80
-16,-48,-48,-16,-16,-48,-16,-32,-16,-48,-112,-80
-16,-32,-32,-16,-16,-32,-16,-32,-16,-48,-96,-80
-16,-16,-32,-32,-32,-16,-32,-32,-16,-48,-96,-80
0,0,-16,-32,-32,0,-32,-32,-16,-32,-80,-64
0,0,-16,-48,-32,0,-32,-32,-16,-32,-80,-64
0,0,-16,-48,-32,0,-32,-32,-16,-32,-80,-64
0,0,-16,-48,-32,0,-32,-32,-16,-32,-80,-64
0,16,0,-48,-32,16,-32,-32,-16,-32,-64,-48
-16,0,0,-48,-32,0,-32,-32,-16,-32,-64,-48
-16,0,0,-48,-32,0,-32,-32,-16,-32,-64,-48
-16,0,0,-48,-32,0,-32,-32,-16,-32,-64,-48
-16,0,0,-32,-16,0,-16,-32,0,-32,-64,-48
-32,-16,-16,-32,-16,-16,-16,-48,-16,-48,-80,-64
-32,-32,-16,-16,-16,-16,-16,-48,-16,-48,-80,-64
-32,-48,-32,-16,-16,-32,-16,-48,-16,-48,-96,-64
-32,-48,-32,0,-16,-32,0,-48,-16,-48,-96,-64
-48,-64,-48,0,-16,-48,0,-48,-32,-64,-112,-80
-48,-80,-64,16,-16,-64,0,-48,-32,-64,-112,-96
-48,-96,-80,16,-16,-80,0,-48,-48,-80,-128,-112
-48,-112,-80,32,0,-96,0,-48,-48,-80,-128,-112
-48,-128,-96,32,0,-112,0,-48,-64,-96,-144,-128
-48,-128,-112,32,0,-112,0,-48,-64,-96,-144,-128
-48,-144,-128,32,0,-128,0,-48,-64,-112,-144,-128
-48,-144,-128,48,16,-128,0,-48,-64,-112,-144,-128
-48,-160,-144,48,16,-144,0,-48,-64,-112,-160,-144
-48,-160,-144,48,16,-144,0,-48,-64,-112,-160,-144
-48,-160,-144,48,16,-144,0,-48,-64,-112,-160,-144
-32,-160,-144,48,32,-144,0,-48,-64,-112,-160,-144
-48,-160,-144,48,16,-144,0,-48,-64,-112,-160,-144
-48,-160,-144,48,16,-144,0,-48,-64,-112,-160,-144
-48,-160,-144,48,16,-144,0,-48,-64,-112,-160,-144
-48,-144,-128,48,16,-144,0,-48,-64,-112,-144,-128
-48,-144,-128,32,0,-144,0,-64,-64,-112,-144,-128
-48,-144,-112,32,0,-128,0,-64,-64,-112,-144,-112
-48,-128,-96,32,0,-112,0,-64,-64,-112,-128,-96
-48,-128,-96,16,0,-112,0,-64,-64,-112,-128,-96
-48,-112,-80,16,0,-96,0,-64,-64,-96,-112,-96
-48,-96,-80,16,0,-80,0,-64,-64,-80,-112,-96
-48,-80,-64,16,0,-64,16,-48,-48,-64,-96,-80
-48,-64,-64,0,-16,-64,16,-48,-32,-48,-80,-80
-48,-48,-48,0,-16,-48,16,-32,-16,-32,-64,-80
-48,-32,-32,-16,-32,-32,16,-16,0,-16,-48,-80
-32,-16,-16,-16,-32,-16,16,0,16,0,-32,-64
-32,-16,-16,-32,-48,-16,16,16,32,16,-16,-64
-32,0,0,-32,-48,0,16,32,48,32,0,-48
-32,16,16,-48,-48,16,16,48,64,48,16,-48
-32,32,32,-48,-48,32,32,64,80,64,48,-32
-32,32,32,-64,-48,32,32,80,96,80,64,-32
-16,48,32,-64,-48,32,48,96,112,96,80,-16
-16,48,32,-80,-48,32,64,112,128,112,96,-16
0,64,48,-80,-48,48,80,144,160,128,112,0
0,80,64,-96,-64,64,80,176,192,160,144,16
0,112,80,-112,-80,96,96,208,224,192,176,32
0,144,96,-128,-96,112,112,240,256,224,208,48
16,176,128,-128,-96,144,128,272,304,272,256,64
16,224,176,-160,-128,192,128,304,368,336,304,80
16,272,224,-192,-144,240,144,352,432,416,368,112
16,320,272,-224,-160,288,160,384,496,480,432,128
32,384,320,-240,-176,336,176,432,560,560,496,160
32,432,368,-288,-208,384,176,448,592,624,576,192
48,496,416,-320,-224,448,176,480,640,688,656,240
48,544,464,-352,-240,496,176,496,672,752,736,288
64,608,512,-384,-256,560,192,528,720,816,816,336
64,672,576,-432,-288,624,176,528,704,848,912,416
64,752,656,-464,-320,704,176,528,704,880,1008,496
64,832,720,-512,-352,784,176,528,704,912,1104,576
80,912,800,-544,-384,864,176,544,704,944,1216,656
