,,,,,,,,,,,
2019-09-04 23:11:59,,,,,,,,,,,
,,,,,,,,,,,
I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-64,-35,26,49,-45,-6,8,20,-60,-67,-137,-60
-64,-35,26,49,-45,-6,8,20,-60,-67,-137,-60
-64,-35,26,49,-45,-6,8,20,-60,-67,-137,-60
-64,-35,26,49,-45,-6,8,20,-60,-67,-137,-60
-70,-41,26,55,-51,-6,14,20,-66,-79,-143,-66
-70,-47,20,55,-45,-11,14,20,-66,-85,-149,-72
-76,-53,20,61,-51,-11,20,20,-72,-97,-155,-78
-76,-59,14,67,-45,-17,20,20,-72,-103,-161,-84
-82,-71,8,73,-45,-29,20,14,-78,-109,-167,-90
-82,-77,2,79,-45,-35,20,14,-84,-115,-173,-90
-88,-89,-4,85,-45,-41,20,14,-90,-121,-179,-96
-88,-95,-4,91,-39,-47,20,14,-96,-127,-185,-96
-88,-89,-4,85,-45,-41,20,14,-96,-133,-191,-102
-88,-83,2,85,-45,-35,20,14,-96,-139,-197,-102
-88,-77,8,79,-51,-29,20,14,-96,-145,-203,-108
-88,-71,14,79,-51,-23,20,14,-96,-151,-209,-108
-88,-77,8,79,-51,-29,20,14,-102,-157,-215,-114
-88,-77,8,79,-51,-29,20,14,-102,-157,-215,-114
-88,-83,2,85,-45,-35,20,9,-108,-163,-221,-120
-88,-83,2,85,-45,-35,20,9,-108,-163,-221,-120
-94,-83,8,85,-51,-35,20,9,-114,-163,-221,-120
-94,-83,8,85,-51,-35,20,9,-114,-163,-221,-120
-100,-83,14,91,-57,-29,20,9,-120,-163,-221,-120
-100,-83,14,91,-57,-29,20,9,-120,-163,-221,-120
-106,-89,14,97,-63,-35,20,3,-120,-169,-227,-126
-106,-89,14,97,-63,-35,20,3,-120,-169,-227,-126
-112,-95,14,103,-63,-35,20,-3,-120,-175,-227,-132
-112,-95,14,103,-63,-35,20,-3,-120,-175,-227,-132
-106,-89,14,97,-63,-35,26,3,-114,-175,-227,-132
-100,-83,14,91,-57,-29,26,3,-114,-175,-227,-132
-94,-77,14,85,-57,-29,32,9,-108,-175,-221,-132
-88,-71,14,79,-51,-23,32,9,-108,-175,-221,-132
-88,-65,20,73,-57,-17,32,9,-114,-175,-227,-138
-88,-65,20,73,-57,-17,32,9,-114,-175,-227,-138
-88,-59,26,73,-57,-11,32,9,-120,-175,-227,-144
-88,-59,26,73,-57,-11,32,9,-120,-175,-227,-144
-88,-59,26,73,-57,-11,32,14,-114,-175,-227,-138
-88,-59,26,73,-57,-11,32,14,-114,-175,-227,-138
-88,-59,26,73,-57,-11,32,14,-108,-175,-227,-132
-88,-59,26,73,-57,-11,32,14,-108,-175,-227,-132
-88,-59,26,73,-57,-11,32,14,-108,-175,-227,-132
-88,-59,26,73,-57,-11,32,14,-108,-175,-227,-132
-88,-59,26,73,-57,-11,32,14,-108,-175,-227,-132
-88,-59,26,73,-57,-11,32,14,-108,-175,-227,-132
-94,-59,32,73,-63,-11,38,14,-102,-175,-227,-132
-94,-59,32,73,-63,-11,38,14,-102,-175,-227,-132
-100,-59,38,79,-69,-6,44,20,-96,-175,-227,-132
-100,-59,38,79,-69,-6,44,20,-96,-175,-227,-132
-106,-65,38,85,-75,-11,38,20,-102,-175,-233,-138
-106,-71,32,85,-69,-17,38,20,-102,-175,-233,-138
-112,-77,32,91,-75,-17,32,20,-108,-175,-239,-144
-112,-83,26,97,-69,-23,32,20,-108,-175,-239,-144
-112,-77,32,91,-75,-17,32,20,-108,-175,-239,-150
-112,-77,32,91,-75,-17,32,20,-108,-175,-239,-150
-112,-71,38,91,-75,-11,32,20,-108,-175,-239,-156
-112,-71,38,91,-75,-11,32,20,-108,-175,-239,-156
-106,-65,38,85,-75,-11,38,20,-108,-175,-233,-156
-100,-59,38,79,-69,-6,38,20,-108,-175,-233,-156
-94,-53,38,73,-69,-6,44,20,-108,-175,-227,-156
-88,-47,38,67,-63,-6,44,20,-108,-175,-227,-156
-94,-53,38,73,-69,-6,44,20,-108,-175,-233,-156
-100,-59,38,79,-69,-6,44,20,-108,-175,-233,-156
-106,-65,38,85,-75,-11,44,20,-108,-175,-239,-156
-112,-71,38,91,-75,-11,44,20,-108,-175,-239,-156
-106,-65,38,85,-75,-11,44,26,-102,-175,-233,-156
-100,-59,38,79,-69,-6,44,26,-102,-175,-233,-156
-94,-53,38,73,-69,-6,44,32,-96,-175,-227,-156
-88,-47,38,67,-63,-6,44,32,-96,-175,-227,-156
-94,-53,38,73,-69,-6,38,32,-102,-181,-233,-162
-94,-59,32,73,-63,-11,38,32,-102,-181,-233,-162
-100,-65,32,79,-69,-11,32,32,-108,-187,-239,-168
-100,-71,26,85,-63,-17,32,32,-108,-187,-239,-168
-106,-71,32,85,-69,-17,38,32,-108,-187,-239,-174
-106,-71,32,85,-69,-17,38,32,-108,-187,-239,-174
-112,-71,38,91,-75,-11,44,32,-108,-187,-239,-180
-112,-71,38,91,-75,-11,44,32,-108,-187,-239,-180
-106,-71,32,85,-69,-17,44,38,-114,-187,-239,-174
-106,-71,32,85,-69,-17,44,38,-114,-187,-239,-174
-100,-71,26,85,-63,-17,44,44,-120,-187,-239,-168
-100,-71,26,85,-63,-17,44,44,-120,-187,-239,-168
-100,-65,32,79,-69,-11,44,44,-120,-193,-239,-168
-100,-65,32,79,-69,-11,44,44,-120,-193,-239,-168
-100,-59,38,79,-69,-6,44,44,-120,-199,-239,-168
-100,-59,38,79,-69,-6,44,44,-120,-199,-239,-168
-106,-65,38,85,-75,-11,44,38,-120,-199,-239,-174
-106,-65,38,85,-75,-11,44,38,-120,-199,-239,-174
-112,-71,38,91,-75,-11,44,32,-120,-199,-239,-180
-112,-71,38,91,-75,-11,44,32,-120,-199,-239,-180
-112,-71,38,91,-75,-11,44,32,-114,-199,-245,-180
-112,-71,38,91,-75,-11,44,32,-114,-199,-245,-180
-112,-71,38,91,-75,-11,44,32,-108,-199,-251,-180
-112,-71,38,91,-75,-11,44,32,-108,-199,-251,-180
-106,-65,38,85,-75,-11,44,32,-114,-205,-251,-180
-106,-65,38,85,-75,-11,44,32,-114,-205,-251,-180
-100,-59,38,79,-69,-6,44,32,-120,-211,-251,-180
-100,-59,38,79,-69,-6,44,32,-120,-211,-251,-180
-106,-65,38,85,-75,-11,44,32,-120,-211,-251,-180
-106,-65,38,85,-75,-11,44,32,-120,-211,-251,-180
-112,-71,38,91,-75,-11,44,32,-120,-211,-251,-180
-112,-71,38,91,-75,-11,44,32,-120,-211,-251,-180
-112,-77,32,91,-75,-17,44,26,-126,-217,-251,-180
-112,-77,32,91,-75,-17,44,26,-126,-217,-251,-180
-112,-83,26,97,-69,-23,44,20,-132,-223,-251,-180
-112,-83,26,97,-69,-23,44,20,-132,-223,-251,-180
-112,-83,26,97,-69,-23,38,20,-132,-223,-257,-180
-112,-83,26,97,-69,-23,38,20,-132,-223,-257,-180
-112,-83,26,97,-69,-23,32,20,-132,-223,-263,-180
-112,-83,26,97,-69,-23,32,20,-132,-223,-263,-180
-106,-77,26,91,-69,-23,38,20,-132,-223,-263,-180
-106,-71,32,85,-69,-17,38,20,-132,-223,-263,-180
-100,-65,32,79,-69,-11,44,20,-132,-223,-263,-180
-100,-59,38,79,-69,-6,44,20,-132,-223,-263,-180
-106,-65,38,85,-75,-11,38,14,-138,-229,-263,-180
-106,-65,38,85,-75,-11,38,14,-138,-229,-263,-180
-112,-71,38,91,-75,-11,32,14,-144,-235,-263,-180
-112,-71,38,91,-75,-11,32,14,-144,-235,-263,-180
-112,-65,44,85,-81,-6,32,14,-144,-235,-263,-180
-112,-65,44,85,-81,-6,32,14,-144,-235,-263,-180
-112,-59,50,85,-81,-6,32,14,-144,-235,-263,-180
-112,-59,50,85,-81,-6,32,14,-144,-235,-263,-180
-112,-65,44,85,-81,-6,32,14,-144,-235,-263,-180
-112,-65,44,85,-81,-6,32,14,-144,-235,-263,-180
-112,-71,38,91,-75,-11,32,9,-144,-235,-263,-180
-112,-71,38,91,-75,-11,32,9,-144,-235,-263,-180
-112,-65,44,85,-81,-6,32,14,-144,-235,-263,-180
-112,-65,44,85,-81,-6,32,14,-144,-235,-263,-180
-112,-59,50,85,-81,-6,32,14,-144,-235,-263,-180
-112,-59,50,85,-81,-6,32,14,-144,-235,-263,-180
-106,-65,38,85,-75,-11,32,14,-138,-235,-263,-180
-106,-65,38,85,-75,-11,32,14,-138,-235,-263,-180
-100,-71,26,85,-63,-17,32,14,-132,-235,-263,-180
-100,-71,26,85,-63,-17,32,14,-132,-235,-263,-180
-100,-65,32,79,-69,-11,32,14,-132,-235,-269,-180
-100,-65,32,79,-69,-11,32,14,-132,-235,-269,-180
-100,-59,38,79,-69,-6,32,14,-132,-235,-275,-180
-100,-59,38,79,-69,-6,32,14,-132,-235,-275,-180
-106,-59,44,79,-75,-6,38,14,-126,-235,-275,-180
-106,-59,44,79,-75,-6,38,14,-126,-235,-275,-180
-112,-59,50,85,-81,-6,44,9,-120,-235,-275,-180
-112,-59,50,85,-81,-6,44,9,-120,-235,-275,-180
-118,-65,50,91,-87,-6,44,9,-120,-235,-275,-180
-118,-65,50,91,-87,-6,44,9,-120,-235,-275,-180
-124,-71,50,97,-87,-6,44,9,-120,-235,-275,-180
-124,-71,50,97,-87,-6,44,9,-120,-235,-275,-180
-118,-65,50,91,-87,-6,44,9,-114,-235,-275,-180
-118,-65,50,91,-87,-6,44,9,-114,-235,-275,-180
-112,-59,50,85,-81,-6,44,9,-108,-235,-275,-180
-112,-59,50,85,-81,-6,44,9,-108,-235,-275,-180
-112,-65,44,85,-81,-6,38,9,-108,-241,-275,-186
-112,-65,44,85,-81,-6,38,9,-108,-241,-275,-186
-112,-71,38,91,-75,-11,32,9,-108,-241,-275,-192
-112,-71,38,91,-75,-11,32,9,-108,-241,-275,-192
-106,-65,38,85,-75,-11,38,9,-108,-241,-275,-186
-106,-65,38,85,-75,-11,38,9,-108,-241,-275,-186
-100,-59,38,79,-69,-6,44,9,-108,-241,-275,-180
-100,-59,38,79,-69,-6,44,9,-108,-241,-275,-180
-106,-65,38,85,-75,-11,38,9,-108,-241,-275,-180
-106,-65,38,85,-75,-11,38,9,-108,-241,-275,-180
-112,-71,38,91,-75,-11,32,9,-108,-241,-275,-180
-112,-71,38,91,-75,-11,32,9,-108,-241,-275,-180
-112,-65,44,85,-81,-6,32,9,-114,-241,-275,-180
-112,-65,44,85,-81,-6,32,9,-114,-241,-275,-180
-112,-59,50,85,-81,-6,32,9,-120,-241,-275,-180
-112,-59,50,85,-81,-6,32,9,-120,-241,-275,-180
-118,-59,56,85,-87,-6,32,9,-120,-241,-275,-186
-118,-59,56,85,-87,-6,32,9,-120,-241,-275,-186
-124,-59,62,91,-93,-6,32,9,-120,-241,-275,-192
-124,-59,62,91,-93,-6,32,9,-120,-241,-275,-192
-118,-65,50,91,-87,-6,32,9,-120,-241,-275,-192
-118,-65,50,91,-87,-6,32,9,-120,-241,-275,-192
-112,-71,38,91,-75,-11,32,9,-120,-241,-275,-192
-112,-71,38,91,-75,-11,32,9,-120,-241,-275,-192
-118,-71,44,91,-81,-11,38,9,-120,-241,-275,-192
-118,-71,44,91,-81,-11,38,9,-120,-241,-275,-192
-124,-71,50,97,-87,-6,44,9,-120,-241,-275,-192
-124,-71,50,97,-87,-6,44,9,-120,-241,-275,-192
-118,-71,44,91,-81,-11,38,9,-120,-241,-275,-198
-118,-71,44,91,-81,-11,38,9,-120,-241,-275,-198
-112,-71,38,91,-75,-11,32,9,-120,-241,-275,-204
-112,-71,38,91,-75,-11,32,9,-120,-241,-275,-204
-112,-65,44,85,-81,-6,32,14,-114,-241,-275,-198
-112,-65,44,85,-81,-6,32,14,-114,-241,-275,-198
-112,-59,50,85,-81,-6,32,14,-108,-241,-275,-192
-112,-59,50,85,-81,-6,32,14,-108,-241,-275,-192
-118,-65,50,91,-87,-6,32,14,-114,-247,-275,-198
-118,-65,50,91,-87,-6,32,14,-114,-247,-275,-198
-124,-71,50,97,-87,-6,32,9,-120,-253,-275,-204
-124,-71,50,97,-87,-6,32,9,-120,-253,-275,-204
-118,-65,50,91,-87,-6,38,9,-114,-247,-275,-198
-112,-65,44,85,-81,-6,38,9,-114,-247,-275,-198
-106,-59,44,79,-75,-6,44,9,-108,-241,-275,-192
-100,-59,38,79,-69,-6,44,9,-108,-241,-275,-192
-106,-59,44,79,-75,-6,44,9,-108,-241,-275,-198
-106,-59,44,79,-75,-6,44,9,-108,-241,-275,-198
-106,-59,44,79,-75,-6,44,14,-108,-241,-275,-198
-106,-59,44,79,-75,-6,44,14,-102,-241,-275,-198
-106,-53,50,79,-81,-6,50,14,-102,-241,-275,-198
-106,-53,50,79,-81,-6,50,14,-102,-241,-269,-198
-100,-47,50,73,-75,-6,50,14,-102,-241,-269,-198
-100,-47,50,73,-75,-6,50,14,-102,-241,-269,-198
-118,-59,56,85,-87,-6,50,14,-102,-241,-269,-198
-118,-59,56,85,-87,-6,50,14,-102,-241,-269,-198
-118,-59,56,85,-87,-6,50,14,-96,-241,-269,-198
-112,-53,56,79,-87,-6,50,14,-96,-235,-263,-192
-106,-35,68,67,-87,6,50,14,-96,-235,-263,-198
-94,-23,68,55,-81,12,56,14,-84,-223,-257,-186
-88,-11,74,49,-81,24,56,20,-78,-223,-251,-186
-88,-6,86,43,-87,36,68,20,-72,-217,-251,-186
-88,-6,92,37,-87,42,74,20,-72,-217,-245,-180
-88,-6,92,37,-87,42,80,26,-72,-217,-245,-180
-76,6,92,25,-81,48,80,26,-72,-211,-245,-174
-76,6,92,25,-81,48,80,26,-72,-211,-245,-174
-88,6,104,31,-93,54,80,20,-78,-211,-245,-174
-88,0,98,37,-93,48,86,20,-78,-217,-251,-180
-94,-6,98,43,-93,42,86,14,-84,-217,-251,-180
-88,-6,92,37,-87,42,86,26,-72,-211,-245,-174
-82,-6,86,37,-81,36,92,38,-60,-211,-245,-174
-76,-6,80,31,-75,36,92,44,-54,-205,-239,-174
-76,-6,80,31,-75,36,92,44,-42,-193,-227,-162
-64,6,80,19,-69,42,92,62,-36,-175,-227,-156
-58,18,86,13,-69,48,92,68,-18,-175,-215,-156
-58,30,98,7,-75,60,80,68,-18,-175,-215,-150
-58,42,110,1,-81,72,56,56,-36,-181,-215,-156
-52,48,110,1,-81,78,44,50,-36,-169,-203,-144
-52,54,116,1,-81,84,38,50,-24,-163,-197,-144
-58,54,122,1,-87,84,38,44,-24,-163,-197,-150
-58,42,110,1,-81,72,38,44,-24,-157,-191,-150
-58,36,104,1,-81,66,32,38,-30,-169,-191,-150
-58,12,80,13,-69,42,32,38,-36,-175,-203,-150
-58,6,74,19,-63,36,38,38,-36,-175,-203,-150
-58,0,68,19,-63,30,38,38,-30,-181,-209,-150
-52,0,62,19,-57,30,50,38,-30,-181,-203,-150
-46,0,56,13,-51,24,62,44,-24,-181,-203,-150
-46,-6,50,19,-45,18,68,44,-24,-181,-209,-156
-52,0,62,19,-57,30,74,44,-24,-181,-215,-162
-58,-6,62,25,-57,24,74,44,-24,-181,-221,-162
-64,-6,62,31,-63,24,92,50,-24,-187,-221,-162
-70,-6,62,37,-69,18,110,56,-24,-193,-221,-162
-82,-17,62,49,-75,12,128,62,-30,-199,-227,-174
-82,-17,62,49,-75,12,134,62,-30,-199,-227,-174
-88,-11,74,49,-81,24,152,80,-30,-193,-221,-180
-94,-17,74,55,-87,18,158,86,-30,-205,-227,-180
-106,-11,92,55,-99,30,158,92,-36,-205,-227,-186
-106,-17,86,61,-99,24,164,92,-36,-205,-233,-192
-106,-35,68,67,-87,6,176,104,-36,-211,-245,-198
-106,-29,74,67,-93,12,194,110,-36,-229,-239,-204
-112,-35,74,73,-93,12,218,128,-36,-223,-245,-216
-130,-47,80,85,-105,6,254,140,-36,-223,-251,-222
-94,-23,68,55,-81,12,296,176,-12,-223,-251,-210
-88,-17,68,49,-81,18,278,200,0,-211,-245,-210
-106,-23,80,61,-93,18,206,194,6,-205,-233,-210
-88,-6,92,37,-87,42,110,200,17,-187,-221,-210
-46,42,98,1,-69,66,26,224,17,-175,-215,-192
-34,48,92,1,-63,66,-10,236,29,-163,-221,-186
-34,54,98,-4,-63,72,-57,230,35,-169,-215,-186
-16,84,110,-28,-63,96,-141,242,59,-151,-203,-168
1,108,104,-52,-45,108,-219,260,71,-127,-191,-162
25,132,104,-76,-33,120,-345,266,89,-115,-173,-144
61,144,80,-100,-3,114,-519,266,113,-97,-149,-132
115,174,56,-142,26,114,-663,272,149,-55,-119,-102
151,210,56,-178,44,132,-741,296,173,-31,-83,-78
175,210,32,-190,68,120,-783,332,197,-2,-65,-60
187,180,-4,-184,92,84,-795,362,227,-2,-47,-48
199,180,-9,-190,104,78,-795,404,251,16,-29,-42
235,192,-33,-214,134,72,-831,452,299,46,1,-12
241,180,-57,-214,152,54,-867,500,335,76,12,6
235,144,-81,-190,158,24,-903,512,347,88,12,0
247,126,-117,-190,188,0,-903,542,371,100,18,17
295,138,-153,-220,230,-6,-879,608,437,142,54,35
361,168,-189,-262,272,-6,-885,686,491,190,96,71
391,180,-207,-280,296,-6,-921,710,509,220,126,101
415,180,-231,-292,320,-17,-969,680,491,244,156,113
427,162,-255,-292,344,-41,-1005,680,503,286,198,149
457,162,-285,-304,374,-59,-999,728,569,334,240,179
475,174,-291,-322,386,-53,-993,710,581,364,270,209
487,168,-309,-322,398,-65,-1017,590,503,364,276,221
475,144,-321,-304,398,-83,-1029,374,371,340,276,221
457,120,-327,-286,392,-101,-1065,44,167,286,252,221
421,72,-339,-244,380,-131,-1089,-267,-18,238,234,203
403,36,-357,-220,380,-155,-1101,-441,-114,226,240,227
391,48,-333,-220,362,-137,-1143,-603,-198,244,270,245
391,66,-315,-232,356,-119,-1221,-807,-282,268,306,281
409,102,-297,-250,356,-95,-1281,-981,-360,322,366,341
433,138,-285,-280,362,-71,-1377,-1173,-414,394,444,401
445,198,-243,-316,344,-17,-1509,-1401,-486,484,534,485
475,270,-195,-370,332,36,-1665,-1617,-552,604,672,599
511,318,-189,-418,350,60,-1779,-1785,-606,706,774,695
565,348,-213,-460,392,66,-1893,-1911,-660,772,876,767
631,396,-231,-508,434,78,-1995,-2061,-768,832,966,857
697,450,-243,-568,470,102,-2121,-2265,-942,862,1032,953
703,480,-219,-586,464,126,-2259,-2498,-1140,874,1098,1019
733,498,-231,-616,488,132,-2391,-2744,-1380,844,1158,1091
751,510,-237,-634,494,138,-2510,-2984,-1650,748,1158,1133
757,504,-243,-634,500,126,-2606,-3164,-1878,634,1146,1169
763,492,-261,-628,512,114,-2648,-3260,-2022,574,1170,1205
817,504,-303,-664,560,96,-2678,-3350,-2160,520,1182,1247
817,504,-303,-664,560,96,-2708,-3458,-2358,388,1170,1265
805,474,-327,-640,566,66,-2708,-3530,-2537,238,1128,1271
805,438,-363,-622,584,30,-2654,-3530,-2645,112,1086,1283
811,396,-411,-604,614,-6,-2588,-3494,-2735,-2,1044,1271
805,360,-441,-580,626,-35,-2516,-3458,-2825,-163,978,1247
781,306,-471,-544,626,-77,-2438,-3422,-2915,-325,894,1223
733,252,-477,-490,608,-107,-2337,-3374,-2993,-487,816,1181
703,222,-477,-460,590,-125,-2229,-3272,-3017,-625,744,1133
673,192,-477,-430,572,-137,-2091,-3146,-3017,-769,654,1091
637,150,-483,-394,560,-161,-1953,-3038,-3023,-925,558,1055
577,114,-459,-346,518,-167,-1845,-2960,-3035,-1081,450,995
535,96,-435,-316,488,-167,-1743,-2906,-3071,-1255,324,935
511,42,-465,-274,488,-209,-1653,-2834,-3083,-1423,216,875
487,-29,-519,-226,500,-275,-1569,-2720,-3035,-1537,120,827
475,-101,-573,-184,518,-335,-1479,-2612,-2939,-1585,60,791
487,-119,-609,-184,548,-365,-1407,-2492,-2843,-1585,36,791
487,-131,-621,-178,554,-377,-1329,-2391,-2741,-1567,24,791
457,-167,-621,-142,536,-395,-1263,-2289,-2645,-1525,24,785
439,-179,-615,-124,524,-395,-1209,-2181,-2495,-1417,90,827
