,,,,,,,,,,,
2019-09-04 23:13:55,,,,,,,,,,,
,,,,,,,,,,,
I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-125,-75,19,97,-66,1,350,282,354,1,-11,-15
-131,-93,25,115,-78,-5,248,186,156,-22,-59,-57
-131,-99,25,121,-78,-11,206,144,108,-46,-83,-81
-131,-105,19,121,-78,-23,176,120,78,-58,-95,-93
-131,-111,19,121,-78,-23,164,114,72,-64,-107,-105
-137,-117,19,121,-78,-23,158,114,72,-70,-113,-111
-137,-123,13,127,-78,-29,158,114,72,-70,-113,-111
-137,-129,7,127,-78,-35,152,114,66,-76,-119,-117
-137,-129,7,127,-78,-35,152,114,66,-82,-119,-117
-137,-129,7,127,-78,-35,152,114,66,-82,-119,-117
-137,-129,7,127,-78,-35,152,108,60,-82,-119,-117
-137,-129,7,127,-78,-35,152,102,60,-82,-119,-117
-131,-129,7,127,-72,-35,152,102,54,-82,-119,-117
-125,-129,1,127,-66,-35,152,102,54,-82,-119,-117
-125,-129,1,127,-60,-35,152,102,54,-82,-119,-117
-119,-129,-5,127,-54,-35,146,102,54,-88,-125,-117
-119,-129,-5,127,-54,-35,146,102,54,-88,-131,-117
-125,-129,-5,127,-54,-35,146,102,54,-88,-131,-117
-125,-129,-5,127,-60,-35,146,102,54,-88,-131,-117
-125,-129,-5,127,-60,-35,146,102,54,-88,-131,-117
-125,-129,-5,127,-60,-35,146,102,54,-88,-131,-117
-125,-129,-5,127,-60,-35,146,102,54,-88,-131,-117
-125,-129,-5,127,-60,-35,146,102,48,-88,-131,-117
-125,-129,1,127,-60,-35,146,102,48,-88,-131,-117
-131,-129,7,127,-66,-35,146,102,48,-88,-131,-117
-131,-129,7,127,-66,-35,146,102,54,-88,-131,-117
-131,-129,7,127,-66,-35,146,102,54,-88,-131,-117
-125,-123,7,121,-66,-35,146,102,54,-88,-131,-117
-125,-123,7,121,-66,-35,146,102,54,-88,-131,-117
-125,-123,7,121,-66,-35,146,108,54,-88,-131,-117
-125,-123,7,121,-66,-35,146,108,54,-82,-131,-117
-125,-117,7,121,-66,-35,146,108,60,-76,-131,-117
-125,-105,19,121,-66,-29,140,108,66,-70,-131,-117
-125,-99,31,115,-72,-17,134,108,72,-64,-125,-111
-125,-93,43,115,-78,-11,128,108,84,-58,-113,-99
-125,-87,43,109,-78,-5,122,108,96,-52,-107,-93
-113,-81,43,97,-78,-5,116,108,108,-46,-101,-87
-101,-63,43,85,-78,1,104,102,120,-40,-95,-87
-95,-51,43,73,-78,12,92,96,132,-34,-89,-87
-89,-45,43,67,-72,12,86,96,138,-28,-89,-87
-83,-39,37,61,-60,12,80,96,144,-22,-89,-87
-71,-39,25,55,-48,12,80,96,150,-16,-89,-87
-59,-39,13,49,-36,12,80,102,156,-10,-89,-81
-53,-39,13,49,-36,12,80,108,156,-4,-83,-75
-47,-39,13,49,-36,12,80,114,156,-4,-77,-69
-47,-39,13,43,-36,12,74,114,156,-4,-77,-63
-47,-39,7,43,-36,12,68,114,144,-4,-77,-63
-47,-39,7,43,-36,12,62,102,132,-4,-71,-57
-47,-33,7,43,-36,12,50,78,120,1,-65,-51
-47,-27,7,37,-30,12,38,60,102,1,-65,-51
-35,-27,1,31,-18,12,26,30,84,1,-65,-51
-23,-27,-5,25,-6,12,20,18,66,-4,-65,-51
-23,-27,-5,25,-6,12,20,12,54,-16,-65,-57
-23,-27,-10,25,-6,12,20,12,42,-22,-71,-63
-17,-27,-22,25,-1,1,20,12,36,-28,-83,-63
-5,-33,-40,25,11,-11,20,12,30,-40,-89,-69
6,-39,-52,25,23,-23,20,12,24,-52,-95,-75
6,-45,-58,25,23,-29,26,12,24,-58,-101,-81
0,-57,-58,31,23,-35,38,24,24,-58,-101,-81
-5,-69,-58,37,23,-41,50,36,24,-64,-101,-87
-11,-81,-58,43,23,-47,62,42,24,-64,-101,-87
-11,-81,-58,43,23,-53,68,42,24,-64,-107,-87
-11,-81,-58,43,23,-53,68,42,24,-64,-113,-93
-11,-81,-58,43,23,-53,74,42,30,-64,-113,-93
-23,-81,-58,49,17,-53,80,48,42,-64,-113,-93
-41,-87,-52,61,5,-53,86,60,72,-64,-113,-93
-53,-93,-46,73,-6,-53,98,78,96,-64,-113,-93
-65,-99,-46,79,-12,-53,110,96,114,-64,-113,-93
-71,-105,-40,85,-18,-53,122,108,126,-64,-113,-93
-77,-111,-40,91,-24,-53,128,120,132,-64,-113,-93
-83,-117,-34,97,-24,-53,134,132,144,-64,-113,-93
-89,-123,-34,103,-24,-53,134,138,174,-58,-113,-93
-89,-129,-34,109,-24,-53,134,150,216,-52,-113,-93
-95,-129,-28,115,-30,-53,140,156,276,-40,-113,-93
-95,-129,-28,115,-36,-53,140,162,330,-34,-113,-93
-95,-129,-28,115,-36,-53,140,162,384,-28,-107,-93
-89,-123,-28,109,-36,-53,134,168,474,-10,-95,-93
-83,-111,-28,97,-30,-53,122,168,570,19,-83,-87
-65,-93,-28,73,-24,-47,110,174,624,49,-71,-81
-59,-75,-22,61,-24,-35,98,180,654,79,-47,-69
-59,-51,-10,55,-30,-5,92,186,690,115,-29,-57
-53,-33,1,43,-30,6,86,198,702,145,-11,-51
-41,-21,7,31,-30,12,74,204,690,169,0,-45
-17,8,7,7,-24,24,62,204,618,187,12,-39
6,38,13,-22,-18,36,32,204,468,205,24,-27
18,62,25,-40,-18,48,2,198,306,217,36,-15
30,86,25,-64,-12,60,-33,186,120,223,48,-4
60,98,25,-76,-1,60,-63,168,-113,223,54,8
72,104,25,-88,11,66,-93,132,-305,223,60,20
84,116,25,-100,17,78,-123,90,-473,223,72,32
126,140,25,-130,41,90,-171,48,-641,223,84,44
186,158,7,-172,89,90,-225,-5,-773,223,96,50
228,176,-10,-202,131,90,-261,-41,-881,223,108,62
258,206,-16,-232,149,96,-291,-65,-935,223,114,68
288,236,-22,-262,161,102,-321,-71,-983,211,114,74
330,248,-46,-292,191,102,-339,-77,-1085,169,114,80
396,260,-94,-334,239,102,-399,-113,-1271,103,114,92
492,302,-154,-400,317,102,-489,-221,-1499,55,126,128
606,350,-208,-478,389,102,-609,-383,-1727,13,174,206
726,410,-274,-568,485,102,-735,-563,-1967,-10,282,308
870,470,-346,-670,611,96,-885,-743,-2219,-40,378,422
1032,518,-466,-790,755,84,-1023,-911,-2464,-100,498,536
1218,584,-586,-892,911,66,-1155,-1079,-2692,-142,618,662
1386,650,-682,-1018,1043,54,-1299,-1229,-2854,-160,774,806
1506,734,-724,-1120,1109,54,-1419,-1355,-2926,-160,930,950
1560,806,-730,-1186,1139,60,-1485,-1433,-2926,-148,1068,1082
1590,866,-730,-1228,1145,84,-1527,-1475,-2902,-106,1188,1178
1596,896,-706,-1240,1145,114,-1539,-1493,-2770,-52,1242,1220
1572,896,-670,-1240,1115,126,-1539,-1493,-2620,-22,1248,1232
1482,884,-634,-1198,1049,126,-1491,-1469,-2428,-22,1236,1226
1350,776,-616,-1066,989,120,-1335,-1355,-2243,-58,1062,1112
1158,566,-610,-862,905,36,-1107,-1163,-2027,-226,756,878
936,326,-610,-634,803,-89,-879,-929,-1769,-394,420,620
750,152,-610,-448,713,-173,-681,-749,-1523,-484,174,416
624,56,-598,-328,629,-209,-567,-641,-1301,-526,6,272
528,-9,-580,-262,563,-239,-483,-557,-1103,-538,-101,152
444,-51,-544,-202,491,-251,-393,-473,-941,-538,-179,74
318,-81,-436,-124,365,-251,-315,-395,-791,-532,-215,20
192,-93,-328,-64,239,-227,-243,-317,-659,-502,-227,-9
114,-99,-238,-28,167,-185,-195,-257,-557,-460,-233,-27
72,-105,-190,7,125,-155,-147,-215,-461,-400,-233,-51
12,-111,-148,37,83,-131,-99,-173,-365,-334,-233,-63
-35,-117,-106,61,41,-113,-63,-125,-293,-292,-221,-69
-71,-123,-70,91,-1,-101,-27,-83,-209,-244,-209,-75
-107,-129,-40,115,-30,-89,8,-35,-131,-202,-197,-87
-131,-129,-16,127,-60,-83,50,12,-53,-160,-185,-93
-143,-135,-10,133,-72,-77,74,48,-11,-148,-179,-99
-149,-141,-5,139,-78,-71,86,66,18,-142,-173,-105
-155,-141,-5,145,-84,-71,98,78,36,-136,-173,-111
-155,-147,-5,151,-90,-71,110,84,48,-130,-173,-117
-167,-153,-5,157,-90,-71,122,96,60,-124,-173,-123
-179,-159,1,163,-96,-71,134,102,72,-118,-173,-123
-179,-159,1,163,-96,-71,134,108,84,-112,-173,-129
-179,-159,1,163,-96,-71,134,108,90,-106,-173,-135
-179,-159,1,163,-96,-71,140,114,102,-100,-173,-141
-179,-159,1,163,-96,-71,146,120,120,-94,-173,-141
-179,-159,1,163,-96,-71,152,126,126,-94,-173,-141
-179,-159,1,163,-96,-71,158,132,132,-88,-173,-141
-179,-159,1,163,-96,-71,158,132,138,-88,-173,-141
-179,-159,1,163,-96,-71,158,132,138,-88,-173,-141
-179,-159,7,163,-96,-65,158,132,138,-88,-173,-141
-179,-153,7,163,-96,-59,158,132,138,-88,-173,-141
-179,-153,13,163,-96,-59,158,132,138,-82,-173,-141
-179,-153,25,163,-102,-59,158,138,150,-76,-167,-141
-179,-153,37,163,-108,-53,158,138,162,-70,-167,-141
-179,-153,43,163,-114,-53,158,138,168,-70,-167,-141
-179,-153,43,163,-114,-53,164,138,174,-70,-167,-141
-179,-159,43,163,-114,-53,164,144,180,-70,-167,-141
-185,-159,43,163,-114,-53,164,150,186,-64,-161,-141
-191,-159,43,169,-120,-53,164,150,186,-58,-161,-141
-197,-159,43,175,-120,-53,170,150,192,-52,-161,-141
-197,-159,43,175,-120,-53,170,150,192,-52,-161,-141
-203,-159,43,175,-120,-53,170,156,198,-52,-155,-141
-209,-159,43,181,-126,-53,176,156,198,-52,-149,-141
-209,-159,43,181,-126,-53,176,156,198,-52,-149,-141
-209,-159,43,181,-126,-53,176,156,198,-52,-149,-141
-209,-159,43,181,-126,-53,176,156,204,-52,-149,-141
-209,-159,43,181,-126,-53,176,156,204,-52,-149,-141
-197,-159,43,175,-126,-53,176,156,204,-52,-149,-141
-191,-159,37,175,-114,-53,176,156,204,-52,-149,-141
-185,-159,31,175,-108,-53,176,156,204,-52,-149,-141
-179,-159,31,175,-102,-53,176,156,204,-52,-149,-141
-179,-159,31,175,-102,-53,176,150,204,-52,-149,-147
-179,-159,31,169,-102,-53,176,150,204,-52,-149,-147
-179,-159,31,169,-102,-53,176,150,210,-52,-149,-147
-179,-159,31,169,-102,-53,176,150,210,-52,-149,-147
-179,-159,31,169,-102,-53,176,150,210,-46,-149,-147
-179,-159,31,169,-102,-53,176,150,216,-46,-149,-147
-185,-159,37,169,-114,-47,176,150,222,-40,-149,-147
-197,-159,49,169,-126,-41,176,150,228,-40,-143,-147
-209,-159,61,169,-132,-35,176,150,234,-34,-137,-147
-209,-159,67,169,-138,-29,176,150,240,-28,-137,-147
-209,-159,67,169,-138,-29,176,150,246,-22,-137,-147
-215,-159,67,175,-144,-29,176,150,252,-22,-137,-147
-215,-159,67,175,-150,-29,176,156,258,-16,-137,-147
-215,-159,67,175,-150,-29,176,156,258,-16,-137,-147
-209,-159,61,169,-138,-29,176,156,258,-16,-137,-147
-203,-159,55,169,-132,-29,170,156,258,-16,-137,-147
-197,-153,55,169,-132,-29,170,156,258,-16,-137,-147
-191,-147,55,163,-126,-29,170,156,258,-16,-137,-147
-191,-147,55,163,-126,-29,170,156,258,-16,-137,-147
-185,-147,55,163,-126,-29,170,156,258,-16,-137,-147
-179,-147,55,157,-120,-29,170,156,264,-16,-137,-147
-167,-141,49,151,-114,-29,164,156,270,-16,-137,-147
-161,-135,43,145,-108,-29,158,156,276,-16,-137,-147
-161,-135,43,145,-108,-29,158,156,276,-16,-137,-147
-161,-135,43,145,-108,-29,158,156,282,-16,-137,-147
-161,-135,43,145,-108,-29,158,156,288,-16,-137,-141
-161,-135,43,145,-108,-29,158,156,294,-10,-137,-141
-161,-135,49,145,-108,-23,158,156,300,-4,-131,-141
-167,-135,49,145,-108,-23,158,156,312,1,-125,-135
-173,-135,49,145,-114,-23,158,156,324,7,-119,-129
-179,-129,55,145,-120,-17,158,156,336,13,-107,-123
