,,,,,,,,,,,
2019-09-04 23:14:04,,,,,,,,,,,
,,,,,,,,,,,
I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-54,91,152,-19,-104,121,92,-65,50,-71,-117,-33
-54,79,140,-19,-98,109,92,-65,50,-77,-123,-33
-54,67,128,-13,-92,97,92,-65,50,-77,-123,-39
-54,55,116,-7,-86,85,92,-53,50,-77,-123,-39
-54,25,86,5,-68,55,92,-47,44,-83,-123,-57
-54,1,56,23,-56,25,92,-47,44,-107,-141,-69
-54,-40,8,47,-32,-17,86,-65,14,-137,-153,-99
-66,-64,-4,65,-32,-28,86,-71,-10,-155,-183,-117
-90,-76,8,83,-50,-28,92,-77,-16,-167,-201,-147
-114,-88,20,101,-68,-28,104,-71,-22,-173,-219,-165
-114,-100,8,107,-62,-40,110,-65,-22,-173,-231,-189
-120,-106,8,113,-68,-46,128,-65,-22,-179,-243,-189
-120,-124,-10,119,-56,-64,128,-53,-16,-179,-249,-195
-120,-148,-34,131,-44,-88,134,-47,-16,-179,-255,-195
-120,-166,-39,143,-38,-106,152,-35,-10,-185,-261,-195
-120,-184,-57,149,-26,-124,182,-29,-10,-185,-273,-195
-120,-184,-57,149,-26,-124,194,-24,-10,-191,-267,-195
-120,-184,-57,149,-26,-124,212,-24,2,-191,-261,-195
-120,-184,-57,149,-26,-124,236,-12,2,-197,-255,-189
-120,-184,-57,149,-26,-124,290,18,14,-197,-255,-189
-120,-172,-45,143,-32,-112,356,48,32,-185,-243,-183
-132,-190,-51,161,-38,-124,458,84,38,-185,-249,-195
-132,-190,-51,161,-38,-124,536,108,38,-197,-249,-213
-120,-190,-63,155,-26,-130,554,138,44,-197,-255,-213
-120,-184,-57,149,-26,-124,566,150,44,-191,-261,-213
-114,-184,-63,149,-20,-124,560,192,56,-191,-261,-225
-102,-172,-63,137,-14,-118,524,240,74,-185,-261,-219
-66,-160,-87,113,16,-124,428,324,104,-167,-249,-207
-30,-130,-93,77,33,-112,272,408,134,-155,-231,-189
-6,-82,-69,41,33,-76,92,504,194,-125,-213,-177
35,1,-34,-19,33,-17,-105,582,248,-77,-171,-147
71,55,-22,-60,39,19,-333,618,290,-35,-141,-123
107,109,-4,-108,51,55,-501,624,314,-23,-129,-105
125,133,2,-126,57,67,-627,672,344,-12,-123,-99
155,157,-4,-156,75,79,-729,726,362,12,-99,-75
191,157,-34,-174,111,61,-819,774,374,12,-99,-75
209,151,-51,-180,129,43,-849,798,374,18,-99,-63
221,163,-51,-192,135,49,-879,792,362,12,-93,-57
227,181,-39,-204,135,67,-915,744,362,24,-87,-39
245,187,-51,-216,147,61,-939,708,392,54,-57,-27
257,187,-63,-222,159,55,-963,642,422,78,-39,-15
251,193,-51,-222,153,67,-963,606,452,84,-45,-27
263,211,-45,-234,153,79,-933,630,494,108,-45,-39
263,223,-34,-240,147,91,-909,654,566,132,-57,-45
293,241,-45,-264,171,97,-927,624,662,186,-33,-27
353,289,-57,-318,207,115,-963,570,794,276,2,2
455,325,-123,-390,285,97,-1041,486,896,372,92,86
527,337,-189,-432,357,73,-1107,390,944,450,170,170
629,349,-273,-492,453,31,-1155,396,1052,510,254,230
749,361,-381,-552,561,-17,-1221,384,1190,618,368,314
869,421,-447,-642,657,-17,-1371,198,1316,810,572,476
1031,583,-447,-804,741,67,-1587,-59,1502,1134,926,764
1217,787,-423,-996,819,181,-1845,-359,1754,1524,1346,1094
1415,985,-423,-1200,921,277,-2151,-779,1946,1920,1778,1448
1583,1219,-357,-1404,975,433,-2438,-1259,2113,2333,2239,1826
1703,1489,-207,-1596,957,643,-2642,-1679,2287,2794,2736,2215
1751,1735,-22,-1740,885,859,-2804,-2093,2365,3262,3228,2580
1763,1963,200,-1866,777,1081,-2912,-2494,2341,3694,3648,2916
1685,2112,428,-1896,627,1267,-2900,-2710,2341,4090,4002,3156
1541,1987,446,-1764,543,1213,-2678,-2584,2550,4510,4242,3228
1379,1621,236,-1494,567,931,-2325,-2171,2976,4935,4368,3138
1235,1309,74,-1266,573,697,-2013,-1829,3150,5199,4416,3030
1127,1207,74,-1164,519,643,-1839,-1757,2856,5235,4422,2976
1037,1075,32,-1056,501,553,-1695,-1697,2406,4959,4290,2862
911,805,-99,-858,507,349,-1443,-1439,2041,4300,3858,2550
749,553,-189,-648,471,181,-1137,-1157,1598,3454,3252,2149
557,385,-171,-474,363,103,-819,-917,1112,2620,2538,1682
