,,,,,,,,,,,
2019-09-04 23:53:08,,,,,,,,,,,
,,,,,,,,,,,
I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-195,-106,82,150,-141,-5,51,-239,-100,-45,-127,-171
-195,-106,82,150,-141,-5,51,-239,-100,-45,-127,-171
-195,-106,82,150,-141,-5,51,-239,-100,-45,-127,-171
-195,-106,82,150,-141,-5,51,-239,-100,-45,-127,-171
-177,-118,52,144,-117,-29,33,-263,-154,-93,-151,-183
-159,-124,28,138,-99,-41,21,-281,-202,-135,-169,-195
-141,-136,4,138,-75,-65,10,-305,-250,-183,-193,-207
-123,-142,-13,132,-51,-77,-8,-323,-298,-219,-205,-213
-99,-124,-19,108,-39,-71,-14,-287,-274,-207,-193,-201
-81,-106,-19,90,-27,-65,-20,-257,-250,-189,-175,-189
-57,-88,-25,72,-15,-59,-26,-221,-226,-171,-157,-171
-39,-70,-25,54,-4,-47,-32,-197,-202,-153,-139,-159
-39,-64,-19,48,-9,-41,-20,-179,-196,-147,-133,-153
-39,-64,-19,48,-9,-41,-14,-167,-190,-141,-127,-147
-39,-58,-13,48,-9,-35,-2,-149,-178,-135,-121,-141
-39,-58,-13,48,-9,-35,4,-137,-172,-129,-115,-135
-45,-52,-1,48,-21,-29,10,-143,-178,-135,-121,-141
-51,-46,4,48,-27,-17,10,-143,-178,-135,-121,-147
-57,-40,10,48,-39,-11,16,-149,-184,-141,-127,-153
-63,-34,22,48,-45,1,16,-149,-184,-141,-127,-159
-57,-34,16,42,-39,-5,16,-155,-190,-147,-133,-159
-57,-34,16,42,-39,-5,16,-155,-196,-147,-133,-159
-51,-34,10,42,-33,-5,16,-161,-202,-153,-139,-159
-51,-34,10,42,-33,-5,16,-161,-202,-153,-139,-159
-57,-40,10,48,-39,-11,10,-161,-202,-159,-145,-159
-57,-40,10,48,-39,-11,10,-161,-202,-159,-145,-159
-63,-46,10,54,-39,-11,4,-161,-202,-165,-151,-159
-63,-46,10,54,-39,-11,4,-161,-202,-165,-151,-159
-51,-34,10,42,-33,-5,4,-161,-202,-165,-157,-165
-45,-22,16,30,-33,1,4,-161,-202,-165,-157,-171
-33,-10,16,18,-27,6,4,-161,-202,-165,-163,-177
-27,2,22,12,-27,6,4,-161,-202,-165,-163,-183
-39,-10,22,24,-33,6,10,-155,-202,-159,-157,-177
-45,-22,16,30,-33,1,10,-155,-202,-159,-157,-177
-57,-34,16,42,-39,-5,16,-149,-196,-153,-151,-171
-63,-46,10,54,-39,-11,16,-149,-196,-153,-151,-171
-57,-46,4,48,-33,-17,16,-155,-202,-159,-151,-171
-57,-46,4,48,-33,-17,16,-155,-202,-159,-151,-171
-51,-46,4,48,-27,-17,16,-161,-202,-165,-151,-171
