,,,,,,,,,,,
2019-09-04 23:18:04,,,,,,,,,,,
,,,,,,,,,,,
I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
312,70,-171,-167,237,-44,-110,-162,-41,231,14,508
43,28,-51,-18,46,-32,-98,-150,-41,-26,2,40
-17,-7,-10,30,-2,-20,-86,-144,-41,-92,-4,-49
-35,-19,2,48,-20,-14,-74,-138,-41,-110,-10,-73
-41,-25,14,48,-26,-8,-68,-138,-41,-122,-16,-85
-47,-31,20,54,-32,-8,-62,-138,-41,-134,-16,-91
-53,-43,26,66,-44,-8,-62,-138,-47,-146,-22,-97
-65,-49,32,78,-50,-8,-62,-138,-53,-152,-22,-103
-77,-55,32,90,-56,-8,-62,-138,-59,-158,-28,-109
-89,-61,32,102,-62,-8,-62,-138,-65,-158,-28,-109
-95,-67,38,108,-68,-8,-62,-138,-65,-158,-28,-115
-101,-67,44,114,-74,-8,-62,-144,-65,-158,-28,-115
-101,-73,44,114,-74,-8,-62,-144,-71,-158,-28,-115
-101,-79,44,114,-74,-8,-68,-144,-71,-158,-28,-115
-101,-79,44,114,-74,-8,-68,-144,-71,-158,-28,-115
-107,-79,44,114,-74,-8,-68,-144,-71,-158,-28,-115
-107,-79,44,114,-74,-8,-68,-144,-71,-158,-28,-115
-107,-79,44,114,-74,-8,-68,-144,-71,-158,-28,-115
-107,-79,44,114,-74,-2,-68,-144,-71,-158,-28,-115
-107,-73,50,114,-74,4,-74,-144,-71,-158,-28,-115
-107,-67,56,114,-74,10,-74,-144,-71,-158,-28,-115
-107,-61,56,108,-74,16,-74,-144,-71,-158,-28,-115
-107,-55,56,102,-74,22,-74,-144,-71,-158,-28,-115
-107,-55,56,102,-80,22,-74,-144,-71,-158,-28,-115
-107,-55,62,102,-80,22,-74,-144,-71,-158,-28,-115
-107,-55,68,102,-80,22,-74,-144,-71,-158,-28,-115
-107,-55,68,102,-80,22,-74,-144,-71,-158,-28,-115
-107,-55,68,102,-80,22,-80,-144,-71,-158,-28,-115
