,,,,,,,,,,,
2019-09-04 23:13:46,,,,,,,,,,,
,,,,,,,,,,,
I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-5,-29,-21,1,-6,8,-3,-11,-24,9,-21,-93
-25,-30,-24,7,-3,10,-16,-12,-26,42,-19,-92
-57,-31,-26,16,-4,11,-36,-12,-28,97,-15,-92
-94,-32,-26,28,-6,11,-61,-12,-27,160,-10,-93
-132,-32,-23,41,-9,10,-86,-11,-25,222,-7,-94
-167,-31,-21,55,-11,8,-111,-9,-23,279,-5,-94
-196,-30,-21,69,-13,8,-133,-8,-24,325,-6,-93
-221,-29,-23,80,-12,8,-150,-8,-26,363,-9,-91
-239,-29,-25,90,-10,8,-164,-9,-30,392,-11,-90
-252,-30,-29,99,-10,9,-176,-9,-34,414,-11,-89
-263,-32,-32,108,-9,11,-185,-11,-37,431,-10,-89
-270,-34,-35,114,-8,13,-192,-12,-39,444,-8,-89
-275,-36,-35,120,-6,13,-197,-14,-39,456,-5,-90
-280,-38,-36,127,-4,14,-203,-16,-39,466,-3,-90
-284,-39,-36,134,-1,15,-209,-19,-39,474,-2,-91
-287,-40,-36,138,1,15,-212,-20,-39,481,-3,-92
-288,-40,-38,137,2,16,-212,-21,-40,488,-3,-92
-287,-39,-39,136,0,16,-212,-19,-41,495,-3,-91
-287,-39,-38,135,-5,16,-211,-16,-41,503,-1,-90
-288,-39,-35,134,-12,14,-211,-13,-38,512,2,-89
-289,-39,-30,130,-17,12,-210,-10,-32,522,6,-88
-291,-41,-24,127,-19,9,-209,-10,-26,533,10,-88
-294,-42,-16,125,-18,5,-209,-11,-18,543,14,-88
-297,-43,-7,122,-16,0,-210,-12,-11,553,17,-89
-301,-42,-4,120,-14,-2,-210,-13,-8,563,17,-88
-306,-41,-7,118,-13,0,-212,-13,-11,572,15,-85
-310,-39,-12,119,-13,2,-214,-12,-16,581,12,-83
-314,-37,-20,124,-14,6,-219,-11,-24,589,7,-80
-317,-36,-28,133,-15,10,-225,-10,-31,597,3,-77
-320,-36,-32,143,-19,13,-231,-8,-35,607,1,-75
-324,-38,-35,151,-23,14,-237,-7,-38,619,1,-74
-328,-40,-38,159,-27,16,-244,-6,-40,632,3,-72
-333,-41,-41,166,-29,18,-249,-5,-42,645,4,-71
-337,-41,-41,173,-29,19,-255,-5,-42,657,6,-70
-340,-40,-41,179,-30,19,-259,-5,-42,668,7,-70
-342,-37,-42,181,-31,20,-261,-3,-42,681,7,-70
-344,-31,-42,182,-34,21,-263,1,-42,695,7,-70
-347,-23,-39,183,-36,19,-265,6,-40,711,6,-72
-351,-12,-34,186,-33,15,-269,10,-36,727,4,-74
-355,-1,-30,191,-28,13,-273,13,-33,742,1,-75
-358,7,-29,193,-29,11,-276,18,-33,758,1,-74
-360,15,-29,194,-33,11,-277,24,-33,773,4,-72
-361,19,-29,195,-36,10,-278,27,-33,788,6,-71
-362,21,-27,197,-38,9,-279,30,-31,801,10,-72
-363,23,-22,199,-42,7,-281,32,-26,814,13,-74
-367,26,-17,203,-49,5,-285,37,-20,827,15,-77
-372,30,-13,210,-60,5,-291,45,-15,839,17,-80
-377,35,-13,219,-70,5,-298,52,-14,850,19,-81
-384,40,-16,229,-75,7,-306,58,-17,861,19,-81
-390,46,-21,241,-76,9,-315,61,-23,873,18,-80
-395,50,-26,255,-75,10,-325,63,-29,885,16,-77
-398,51,-31,270,-74,11,-334,62,-34,897,13,-75
-400,50,-35,281,-72,13,-341,61,-40,910,9,-73
-401,47,-40,289,-71,15,-345,59,-44,923,1,-73
-402,44,-40,295,-68,15,-349,56,-44,936,-6,-75
-404,42,-36,301,-64,12,-353,53,-42,949,-15,-78
-407,40,-33,308,-59,9,-358,49,-39,960,-21,-81
-411,36,-30,315,-57,7,-363,46,-37,972,-23,-83
-414,32,-29,319,-57,7,-367,44,-36,984,-23,-86
