,,,,,,,,,,,
2019-09-01 15:30:14,,,,,,,,,,,
,,,,,,,,,,,
I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0,-1,-1,0,0,-1,1,0,-1,-1,0,-1
1,-5,-7,2,4,-6,7,-3,-6,-7,-4,-5
3,-12,-16,4,10,-14,18,-7,-13,-13,-8,-11
6,-19,-25,6,16,-22,32,-10,-18,-19,-11,-17
8,-24,-32,7,20,-28,47,-13,-22,-22,-13,-22
9,-27,-37,8,23,-32,61,-15,-24,-23,-14,-26
11,-29,-40,8,25,-34,73,-18,-26,-24,-14,-29
12,-29,-42,8,27,-35,80,-22,-30,-27,-16,-31
12,-30,-43,7,28,-36,83,-26,-36,-31,-18,-33
12,-31,-44,8,28,-37,84,-31,-42,-37,-22,-36
11,-33,-44,10,28,-39,83,-35,-49,-43,-25,-39
8,-36,-44,13,26,-40,80,-38,-56,-48,-29,-41
5,-39,-45,16,25,-42,76,-41,-60,-52,-31,-42
5,-41,-47,17,25,-44,71,-43,-62,-53,-31,-43
6,-42,-49,17,27,-45,66,-44,-61,-50,-30,-43
9,-41,-51,15,30,-46,61,-44,-59,-47,-29,-42
13,-41,-55,14,34,-48,54,-45,-58,-44,-28,-43
15,-43,-59,14,37,-51,47,-47,-58,-44,-29,-44
15,-47,-63,15,39,-56,40,-50,-62,-47,-32,-46
14,-53,-69,19,41,-61,32,-55,-68,-53,-36,-50
14,-60,-74,22,44,-67,24,-60,-76,-61,-41,-54
12,-65,-78,25,45,-72,17,-65,-83,-67,-45,-58
11,-69,-81,28,46,-75,11,-69,-88,-72,-47,-61
11,-70,-82,29,46,-76,7,-73,-90,-73,-48,-62
10,-70,-81,29,46,-75,3,-76,-89,-71,-47,-62
9,-68,-78,28,44,-73,1,-79,-88,-68,-45,-61
8,-66,-75,28,42,-71,0,-81,-86,-65,-44,-60
6,-66,-73,29,39,-69,0,-84,-86,-64,-44,-60
4,-67,-71,31,37,-69,-1,-87,-87,-66,-45,-61
2,-66,-69,31,36,-68,-2,-88,-89,-69,-47,-62
1,-65,-67,31,34,-66,-2,-89,-91,-71,-49,-62
1,-62,-64,30,32,-63,-1,-88,-92,-73,-49,-62
0,-60,-60,29,29,-60,0,-87,-92,-73,-49,-62
-3,-58,-55,30,26,-57,1,-88,-92,-73,-49,-61
-6,-57,-50,31,21,-53,2,-90,-92,-71,-48,-61
-10,-57,-45,33,17,-51,3,-93,-92,-69,-47,-61
-15,-58,-42,36,12,-50,3,-97,-93,-68,-47,-61
-20,-61,-40,40,9,-50,4,-102,-97,-70,-49,-64
-24,-65,-40,45,7,-52,6,-107,-103,-74,-53,-67
-27,-70,-41,48,6,-55,8,-111,-109,-81,-57,-72
-28,-73,-43,50,6,-58,10,-114,-116,-88,-61,-76
