,,,,,,,,,,,
2019-09-01 15:30:36,,,,,,,,,,,
,,,,,,,,,,,
I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-1,-4,-3,3,1,-4,2,1,0,1,0,0
-5,-20,-14,13,4,-17,11,9,4,6,1,1
-12,-44,-32,28,10,-38,26,20,10,15,3,4
-17,-68,-51,42,17,-60,41,32,16,25,6,7
-19,-90,-71,54,26,-80,56,43,22,35,10,10
-18,-108,-90,63,35,-99,69,53,27,43,12,12
-15,-122,-106,69,45,-114,79,60,31,50,13,13
-13,-133,-120,73,53,-127,86,65,33,53,12,11
-11,-143,-131,77,59,-137,89,67,32,53,7,7
-10,-150,-139,80,64,-145,89,66,30,50,0,1
-9,-154,-145,82,67,-149,86,63,26,46,-5,-3
-9,-156,-146,82,68,-151,84,59,23,43,-9,-5
-10,-155,-145,83,66,-150,82,56,22,41,-11,-5
-13,-154,-140,84,62,-147,81,56,22,42,-9,-3
-20,-153,-132,86,55,-142,82,57,24,45,-6,0
-27,-152,-124,89,48,-138,84,59,27,48,-3,2
-31,-149,-118,90,42,-133,88,61,30,51,0,4
-33,-148,-114,91,39,-131,91,64,34,53,1,4
-36,-149,-112,92,37,-131,93,65,36,53,1,3
-38,-152,-113,95,36,-133,94,66,38,53,0,1
-40,-156,-115,98,36,-136,93,65,38,52,-2,0
-41,-160,-117,101,37,-139,90,64,37,49,-6,-2
-41,-162,-120,102,39,-141,86,61,35,46,-9,-3
-38,-162,-122,100,41,-142,81,57,32,44,-11,-4
-33,-159,-125,96,45,-142,78,55,30,42,-11,-3
-27,-155,-127,91,49,-141,77,54,30,41,-10,-2
-22,-152,-128,87,52,-140,77,55,32,42,-9,-1
-21,-149,-127,85,52,-138,79,57,34,44,-8,-1
-22,-147,-124,84,50,-135,82,60,37,45,-6,0
-24,-146,-121,85,47,-133,85,62,38,45,-7,-2
-25,-147,-120,86,47,-133,85,61,36,43,-9,-5
-24,-148,-123,86,48,-135,83,58,32,40,-12,-8
-23,-150,-126,87,50,-138,79,55,27,36,-15,-11
-24,-153,-128,88,51,-140,75,52,22,33,-17,-13
-26,-155,-127,90,49,-141,73,49,18,32,-18,-14
-31,-155,-123,93,45,-139,74,49,17,32,-18,-13
-35,-153,-117,94,40,-135,76,51,19,33,-16,-12
-37,-151,-113,94,37,-132,80,55,21,34,-15,-11
-37,-149,-111,93,36,-130,82,58,24,33,-16,-11
-37,-148,-110,92,36,-129,83,60,24,30,-17,-13
-38,-148,-109,93,34,-128,83,61,23,26,-18,-14
-40,-149,-108,95,33,-129,81,60,21,21,-19,-15
-39,-149,-109,94,34,-129,78,58,18,16,-20,-16
-34,-148,-112,91,38,-130,75,57,15,12,-20,-17
-29,-146,-116,88,42,-131,72,55,12,7,-21,-18
-23,-145,-120,84,47,-132,69,53,9,2,-22,-19
-20,-144,-123,82,51,-133,67,52,6,-2,-23,-20
-19,-144,-124,81,52,-133,66,52,5,-7,-24,-21
-19,-144,-123,82,51,-133,66,54,5,-11,-25,-23
-21,-144,-122,83,49,-133,66,55,5,-15,-27,-23
-24,-145,-120,85,47,-132,67,57,5,-17,-28,-23
-27,-145,-117,86,44,-131,69,58,5,-18,-27,-22
-30,-143,-112,86,40,-128,72,60,6,-18,-25,-20
-30,-139,-108,84,38,-123,76,64,8,-16,-21,-17
-27,-131,-103,79,37,-117,82,68,12,-12,-16,-13
-22,-122,-98,72,37,-110,89,75,17,-8,-10,-9
-16,-111,-95,64,39,-103,97,82,23,-3,-3,-5
-10,-101,-90,56,40,-96,104,89,30,1,1,-1
-5,-91,-85,48,39,-88,111,95,36,4,5,1
-2,-80,-77,41,37,-78,117,99,41,5,8,3
-1,-68,-66,35,32,-68,121,102,44,6,10,6
-3,-59,-55,30,26,-57,126,105,48,6,13,9
-5,-51,-45,28,19,-48,131,109,52,8,16,14
-8,-45,-36,26,14,-41,135,113,56,10,21,19
-9,-40,-30,24,10,-35,140,119,62,15,26,23
-9,-37,-28,23,9,-33,144,126,69,20,31,28
-6,-35,-29,20,11,-32,147,132,76,25,36,33
0,-31,-31,16,15,-31,149,139,84,31,40,37
6,-27,-33,10,20,-30,150,145,91,35,44,40
13,-21,-35,3,24,-28,149,149,98,39,47,44
22,-12,-35,-4,28,-24,147,152,103,42,51,47
30,-3,-33,-13,32,-18,142,152,106,44,54,51
35,5,-29,-20,32,-12,135,151,108,45,57,54
36,12,-23,-24,30,-5,127,149,109,46,61,58
34,18,-16,-26,25,0,119,146,109,47,66,63
33,21,-11,-26,22,4,111,143,110,48,69,66
32,19,-12,-25,22,3,105,141,110,48,70,66
31,12,-19,-21,25,-3,98,139,110,46,68,63
30,0,-30,-15,30,-15,92,135,107,42,63,57
30,-13,-43,-8,36,-28,86,131,103,36,56,49
28,-26,-55,-1,41,-40,81,126,98,29,49,43
27,-37,-65,4,46,-51,77,120,91,21,42,38
30,-46,-77,7,53,-61,70,112,81,13,36,33
33,-54,-88,10,60,-71,63,102,70,3,30,28
33,-63,-98,14,65,-80,56,92,59,-5,24,24
30,-73,-104,20,67,-89,50,83,49,-12,19,19
25,-82,-108,27,67,-95,46,75,41,-19,13,14
20,-89,-110,34,65,-99,43,70,35,-24,8,9
15,-93,-109,38,62,-101,42,65,31,-28,3,4
13,-95,-108,40,60,-101,41,62,26,-33,-1,0
9,-97,-107,43,58,-102,40,58,21,-38,-7,-5
5,-100,-105,47,54,-102,38,53,15,-44,-12,-9
0,-102,-102,51,50,-102,37,49,9,-49,-17,-13
-5,-103,-98,54,46,-100,36,45,3,-55,-22,-17
-10,-104,-93,57,41,-98,38,43,-1,-60,-26,-21
-17,-105,-88,61,35,-96,42,43,-4,-64,-29,-24
-26,-108,-82,67,27,-95,46,45,-5,-66,-32,-27
-36,-112,-75,74,19,-93,51,47,-5,-68,-34,-31
-45,-116,-70,80,12,-93,53,47,-6,-70,-38,-35
-51,-120,-68,85,8,-94,54,45,-10,-73,-42,-40
-55,-124,-69,90,6,-96,53,42,-14,-78,-47,-44
-57,-129,-71,93,6,-100,51,38,-20,-82,-51,-47
-60,-133,-72,97,5,-102,48,35,-24,-86,-53,-48
-66,-136,-69,101,1,-102,46,33,-28,-87,-53,-47
-71,-138,-66,105,-2,-102,43,32,-30,-88,-52,-45
-70,-139,-68,105,-1,-104,40,30,-33,-89,-53,-44
-64,-139,-74,102,4,-106,37,28,-35,-90,-55,-46
-56,-136,-79,97,11,-108,35,26,-36,-91,-57,-48
-49,-133,-83,91,16,-108,34,26,-37,-90,-58,-50
-43,-130,-85,87,20,-108,33,25,-36,-90,-60,-52
-39,-127,-87,83,23,-107,32,24,-37,-91,-61,-54
-37,-124,-86,81,24,-105,30,22,-37,-92,-62,-54
-37,-123,-85,80,23,-104,27,20,-39,-94,-63,-55
-38,-122,-84,80,22,-103,24,16,-42,-95,-63,-54
-39,-121,-80,80,19,-100,22,14,-44,-96,-62,-53
-41,-117,-75,79,16,-96,21,14,-44,-96,-60,-51
-43,-113,-70,78,13,-91,23,16,-43,-95,-58,-49
-42,-110,-67,76,11,-89,25,19,-42,-94,-58,-48
-40,-110,-69,75,14,-90,25,20,-41,-95,-59,-50
-35,-112,-76,74,20,-94,25,20,-41,-98,-63,-55
-30,-116,-85,73,26,-100,25,20,-42,-102,-68,-60
-29,-118,-88,74,29,-103,28,24,-40,-102,-71,-64
-33,-115,-81,74,23,-98,37,37,-30,-97,-69,-63
-39,-105,-65,72,12,-85,52,59,-11,-85,-61,-57
-45,-89,-43,67,-1,-66,70,88,16,-66,-49,-46
-49,-67,-17,58,-15,-42,87,117,47,-40,-29,-28
-50,-40,10,45,-30,-14,100,141,79,-8,-1,-4
-48,-12,35,30,-41,11,109,163,115,31,35,25
-39,12,52,13,-46,32,121,193,165,84,81,59
-25,34,59,-4,-42,47,140,238,235,154,137,97
-4,52,57,-23,-30,54,165,294,321,237,201,138
22,64,42,-43,-10,53,193,352,413,329,272,180
54,71,16,-62,18,43,223,401,499,423,348,224
94,77,-16,-85,55,30,247,432,570,516,428,272
139,87,-51,-113,95,18,254,434,620,606,512,324
185,104,-80,-145,133,11,233,398,641,688,600,383
229,128,-100,-178,164,13,185,327,635,765,691,446
268,162,-104,-215,186,28,121,229,610,839,785,515
299,210,-88,-254,193,61,46,110,570,909,882,589
320,266,-54,-293,187,105,-36,-25,515,970,971,661
331,312,-18,-322,175,146,-122,-172,444,1002,1029,712
330,329,0,-329,164,164,-209,-324,351,984,1027,719
313,307,-6,-310,159,150,-299,-476,233,902,953,671
282,247,-35,-265,158,105,-395,-625,92,759,810,572
242,161,-81,-202,161,40,-497,-765,-67,565,616,439
197,64,-131,-131,164,-33,-598,-893,-241,336,396,287
148,-28,-176,-60,162,-102,-690,-1005,-423,88,170,135
99,-109,-209,4,154,-159,-762,-1094,-604,-161,-41,-3
53,-173,-226,59,139,-199,-806,-1148,-765,-391,-223,-118
12,-220,-232,103,122,-226,-814,-1154,-885,-578,-361,-206
-20,-254,-233,137,105,-243,-784,-1110,-946,-705,-454,-267
-45,-275,-229,160,91,-252,-722,-1022,-949,-771,-505,-304
-62,-285,-222,173,79,-253,-639,-904,-902,-785,-519,-320
-72,-286,-212,179,69,-249,-545,-772,-821,-757,-506,-320
-77,-277,-199,177,60,-238,-447,-635,-717,-699,-471,-307
-79,-261,-181,170,49,-221,-349,-499,-601,-622,-423,-283
-81,-242,-160,161,38,-201,-257,-372,-486,-537,-370,-254
-82,-223,-140,152,28,-182,-176,-261,-379,-454,-319,-226
-79,-207,-127,143,23,-167,-107,-168,-287,-380,-273,-202
-73,-193,-119,133,22,-156,-52,-93,-212,-317,-235,-181
-67,-182,-114,125,23,-148,-10,-36,-153,-265,-204,-163
-61,-172,-110,116,23,-141,20,4,-110,-225,-178,-147
-56,-160,-103,108,23,-132,40,32,-79,-193,-157,-132
-54,-148,-94,101,19,-121,54,50,-57,-167,-139,-118
-55,-137,-81,95,12,-109,64,62,-42,-147,-122,-104
-57,-124,-66,91,4,-95,70,69,-31,-129,-107,-92
-59,-112,-52,85,-3,-82,73,72,-25,-115,-96,-81
-59,-101,-41,80,-8,-71,73,73,-20,-104,-88,-74
-57,-93,-34,75,-11,-64,71,72,-19,-95,-83,-68
-56,-89,-32,72,-11,-60,66,70,-19,-90,-81,-65
-55,-87,-31,71,-11,-59,60,67,-22,-87,-80,-64
-56,-86,-28,71,-13,-57,55,64,-25,-85,-79,-62
-61,-85,-24,73,-18,-54,52,62,-27,-82,-77,-60
-65,-85,-20,75,-22,-52,49,61,-29,-79,-74,-57
-66,-85,-18,75,-23,-52,48,60,-31,-77,-72,-54
-63,-83,-20,73,-21,-51,49,61,-32,-75,-70,-52
-56,-80,-23,68,-16,-52,52,62,-32,-73,-68,-51
-49,-77,-28,63,-10,-53,54,63,-32,-72,-68,-52
-41,-75,-34,58,-3,-55,56,64,-31,-73,-70,-55
-34,-74,-39,54,1,-57,57,63,-32,-76,-73,-60
-31,-73,-42,52,5,-58,57,63,-32,-80,-76,-63
-28,-73,-43,50,7,-58,57,61,-33,-84,-77,-65
-27,-71,-43,49,7,-57,56,60,-33,-87,-77,-66
-26,-68,-41,47,6,-54,55,58,-34,-90,-76,-65
-28,-65,-36,46,3,-50,55,57,-33,-93,-73,-63
-32,-63,-30,47,-1,-46,56,58,-30,-94,-70,-60
-37,-61,-23,49,-7,-42,60,61,-24,-95,-66,-56
-42,-61,-19,51,-11,-40,64,65,-18,-94,-63,-52
-45,-61,-15,53,-14,-38,67,69,-10,-95,-61,-50
-46,-60,-14,53,-15,-37,69,73,-3,-96,-60,-49
-44,-60,-15,52,-13,-37,70,76,2,-98,-59,-49
-40,-60,-19,50,-10,-39,69,77,7,-101,-57,-49
-35,-57,-22,46,-6,-39,67,77,11,-103,-55,-49
-28,-53,-24,40,-2,-38,65,77,14,-105,-52,-48
-24,-48,-23,36,0,-35,64,78,19,-106,-49,-47
-25,-44,-19,35,-3,-31,65,80,25,-105,-45,-44
-32,-45,-12,38,-10,-28,67,83,32,-103,-42,-41
-40,-48,-7,44,-16,-27,69,85,40,-101,-39,-39
-46,-51,-5,49,-20,-28,70,87,46,-101,-39,-38
-48,-55,-7,51,-20,-31,69,88,51,-101,-40,-38
-46,-58,-12,52,-17,-35,66,86,52,-103,-43,-40
-42,-60,-17,51,-12,-38,61,82,51,-105,-48,-42
-39,-60,-20,49,-9,-40,56,77,48,-107,-51,-43
-37,-58,-20,47,-8,-39,53,74,46,-105,-52,-43
-35,-56,-20,45,-7,-38,50,71,45,-102,-51,-42
-33,-54,-20,43,-6,-37,48,69,44,-98,-49,-41
-30,-53,-22,42,-4,-38,48,68,44,-93,-46,-40
-28,-54,-25,41,-1,-39,50,69,46,-86,-43,-39
-26,-55,-28,40,1,-41,51,71,48,-80,-40,-38
-22,-54,-31,38,4,-42,52,72,48,-74,-38,-37
-18,-51,-32,34,7,-42,52,72,48,-69,-36,-37
-13,-47,-33,30,9,-40,51,70,45,-64,-35,-36
