,,,,,,,,,,,
2019-09-01 15:31:54,,,,,,,,,,,
,,,,,,,,,,,
I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
1,-8,-10,3,6,-9,-38,-53,-46,-30,-21,-11
6,-39,-45,16,25,-42,-169,-240,-207,-137,-96,-52
7,-87,-94,39,51,-90,-375,-531,-460,-306,-212,-116
4,-137,-141,66,72,-139,-593,-837,-726,-487,-334,-182
-2,-182,-179,92,88,-181,-782,-1100,-956,-645,-441,-242
-11,-221,-209,116,98,-215,-919,-1287,-1124,-766,-523,-291
-22,-253,-230,137,103,-241,-995,-1388,-1221,-844,-579,-328
-33,-277,-243,155,104,-260,-1008,-1405,-1248,-877,-605,-350
-44,-289,-244,167,99,-267,-965,-1348,-1210,-865,-602,-356
-54,-290,-235,172,89,-262,-879,-1231,-1119,-816,-572,-346
-61,-278,-216,169,76,-247,-764,-1074,-990,-737,-522,-323
-66,-257,-190,161,61,-224,-635,-897,-841,-640,-459,-290
-68,-230,-162,149,46,-196,-503,-717,-686,-538,-392,-254
-68,-202,-133,135,32,-168,-379,-547,-538,-439,-327,-219
-68,-175,-106,122,19,-141,-268,-398,-406,-352,-270,-188
-68,-152,-83,111,7,-118,-176,-276,-295,-279,-223,-162
-69,-133,-64,101,-2,-98,-103,-181,-209,-222,-187,-142
-69,-117,-47,93,-10,-82,-49,-112,-144,-180,-159,-126
-70,-106,-35,88,-17,-70,-11,-66,-100,-151,-140,-115
-71,-98,-26,84,-21,-62,12,-38,-71,-132,-127,-108
-72,-93,-20,82,-25,-56,26,-21,-54,-122,-119,-103
-73,-90,-16,82,-28,-53,34,-12,-44,-116,-114,-100
-75,-89,-13,82,-30,-51,38,-7,-38,-113,-112,-100
-76,-88,-11,82,-31,-50,41,-3,-34,-112,-112,-101
-78,-88,-9,83,-33,-49,43,0,-30,-113,-114,-103
-80,-88,-7,84,-35,-48,46,2,-28,-114,-116,-105
-82,-88,-6,85,-37,-47,48,3,-27,-116,-119,-108
-84,-89,-5,86,-39,-47,50,3,-27,-118,-120,-109
-86,-90,-3,88,-40,-47,51,2,-28,-119,-120,-110
-87,-90,-3,89,-41,-47,52,1,-28,-118,-118,-108
-87,-91,-3,89,-41,-47,53,2,-28,-115,-115,-105
-86,-92,-5,89,-39,-49,54,5,-26,-111,-110,-101
-85,-94,-8,89,-38,-51,57,9,-21,-105,-106,-98
-82,-93,-10,88,-35,-51,61,16,-15,-99,-102,-94
-79,-91,-11,85,-33,-51,67,24,-9,-93,-99,-92
-77,-89,-11,83,-32,-50,72,31,-3,-89,-98,-91
-75,-86,-10,81,-32,-48,76,35,0,-87,-99,-91
-75,-84,-8,80,-33,-46,79,38,1,-87,-99,-92
-75,-82,-6,78,-34,-43,81,39,2,-86,-99,-92
-75,-80,-4,77,-35,-41,81,39,2,-85,-99,-91
-74,-78,-3,76,-35,-40,80,39,2,-82,-99,-89
-73,-77,-3,75,-34,-40,79,40,3,-80,-98,-88
-72,-76,-3,74,-34,-39,77,42,5,-77,-98,-87
-71,-75,-3,73,-33,-38,77,46,8,-75,-98,-88
-71,-76,-4,74,-33,-40,78,50,12,-73,-100,-89
-73,-79,-4,76,-34,-41,79,54,15,-72,-101,-90
-76,-80,-3,78,-35,-41,81,57,18,-71,-103,-90
-76,-79,-2,78,-36,-40,83,58,19,-71,-104,-90
-74,-77,-2,75,-35,-39,83,57,19,-71,-103,-90
-70,-74,-3,72,-33,-38,83,56,18,-70,-102,-89
-67,-71,-3,69,-31,-37,81,56,17,-68,-99,-87
-64,-68,-3,66,-30,-35,80,56,18,-65,-96,-85
-63,-67,-3,65,-29,-35,81,59,21,-61,-92,-83
-62,-67,-4,65,-28,-35,82,63,25,-57,-90,-82
-63,-69,-6,66,-28,-37,84,68,29,-54,-88,-82
-62,-71,-7,67,-27,-39,87,73,33,-51,-86,-81
-62,-71,-8,67,-26,-39,90,76,36,-50,-85,-81
-62,-70,-8,66,-26,-39,93,78,38,-48,-84,-80
-61,-70,-7,65,-26,-38,93,78,38,-47,-81,-78
-60,-69,-8,65,-26,-38,93,78,38,-45,-78,-75
-59,-66,-7,63,-25,-37,91,77,38,-43,-75,-72
-56,-63,-7,60,-24,-35,88,77,38,-39,-71,-69
-53,-60,-7,57,-22,-34,86,79,41,-36,-68,-67
-51,-58,-7,55,-21,-32,85,83,45,-32,-65,-65
-49,-56,-6,52,-21,-31,85,87,50,-28,-64,-65
-48,-54,-6,51,-20,-30,86,91,54,-26,-63,-65
-47,-53,-5,50,-20,-29,87,94,58,-23,-63,-65
-47,-51,-4,49,-21,-28,88,95,60,-22,-62,-64
-46,-48,-2,47,-21,-25,88,95,61,-21,-61,-63
-43,-45,-2,44,-20,-23,86,95,62,-18,-57,-60
-40,-43,-2,42,-18,-22,85,96,65,-15,-52,-55
-36,-41,-4,39,-16,-22,84,98,68,-10,-47,-51
-33,-40,-7,36,-12,-23,83,102,73,-6,-43,-47
-29,-40,-9,34,-9,-24,84,107,78,-2,-40,-45
-27,-39,-11,33,-7,-25,85,113,83,0,-38,-43
-26,-38,-11,32,-7,-24,86,118,88,3,-37,-42
-25,-35,-9,30,-7,-22,87,123,91,5,-36,-41
-24,-32,-7,28,-8,-19,88,125,93,7,-35,-40
-23,-29,-5,26,-8,-17,87,127,94,9,-33,-38
-20,-25,-4,23,-7,-14,86,128,95,11,-30,-35
-17,-22,-4,20,-6,-13,84,131,96,15,-25,-31
-13,-19,-5,17,-4,-12,83,134,99,21,-19,-26
-10,-16,-6,13,-2,-11,82,140,104,27,-13,-21
-6,-14,-7,10,0,-10,82,146,109,33,-8,-17
-3,-12,-8,8,2,-10,83,153,115,39,-4,-14
0,-9,-9,5,4,-9,85,161,122,43,-1,-11
2,-6,-9,2,5,-7,86,167,127,47,2,-8
5,-2,-8,-1,6,-5,88,171,131,51,5,-4
9,2,-7,-5,8,-2,87,175,133,55,10,0
14,7,-6,-10,10,0,86,178,136,60,16,5
19,12,-6,-15,13,2,84,182,138,66,23,11
25,17,-7,-21,16,5,81,187,143,74,31,18
31,23,-7,-27,19,7,79,194,148,82,38,25
38,29,-8,-34,23,10,77,204,155,90,45,31
43,35,-8,-39,26,13,76,216,163,98,51,37
49,40,-7,-45,28,16,76,228,170,105,56,42
54,46,-7,-50,30,19,76,239,177,111,61,47
58,51,-6,-55,32,22,75,249,183,117,67,53
63,56,-6,-59,34,25,74,258,188,124,75,61
68,61,-6,-64,37,26,72,266,193,132,84,70
75,65,-8,-70,41,28,68,273,198,141,94,79
83,70,-12,-76,47,28,64,280,203,151,105,89
91,75,-15,-83,53,29,60,288,209,160,114,99
100,81,-18,-91,59,31,58,297,215,170,124,107
109,89,-19,-99,64,34,55,305,222,179,131,115
117,97,-19,-107,68,38,53,312,228,186,138,122
122,103,-17,-113,69,42,50,318,231,191,143,127
126,109,-15,-118,70,46,46,321,233,195,148,133
133,117,-14,-125,73,50,42,324,234,200,155,140
141,126,-14,-134,77,55,37,327,235,206,164,148
150,135,-14,-143,82,59,32,330,236,212,173,157
159,142,-16,-150,88,61,27,332,238,218,182,166
166,147,-19,-156,93,63,22,334,240,224,190,173
173,152,-20,-162,97,65,18,337,242,229,196,180
179,157,-21,-168,100,67,15,340,244,232,201,185
185,162,-21,-173,103,69,12,342,245,234,204,190
189,167,-20,-178,104,72,10,342,245,234,206,193
192,173,-18,-182,105,76,7,341,243,233,207,197
194,178,-15,-186,105,80,4,338,240,232,209,200
197,184,-12,-190,105,84,0,334,236,232,211,204
199,188,-10,-194,105,88,-3,331,233,232,214,209
201,193,-8,-197,105,91,-6,328,229,233,218,214
204,196,-6,-200,105,94,-9,326,227,234,220,217
206,199,-6,-202,106,95,-10,324,225,233,221,220
207,200,-6,-203,106,96,-11,323,223,232,221,221
206,201,-4,-203,105,98,-11,320,221,230,219,221
203,203,0,-203,101,101,-11,315,217,226,216,220
199,204,5,-202,96,104,-10,308,212,222,212,218
194,206,11,-200,91,108,-9,301,207,217,209,216
189,206,16,-197,85,111,-7,292,201,212,205,213
182,203,20,-193,80,112,-5,284,196,206,202,210
175,199,23,-187,75,111,-1,277,190,201,198,206
167,194,26,-180,70,110,3,270,186,195,192,200
158,187,28,-172,64,107,10,263,182,188,185,192
148,178,30,-163,58,104,19,257,178,179,175,183
137,169,32,-153,52,101,28,250,173,169,164,172
125,160,34,-142,44,97,37,242,167,158,152,160
