,,,,,,,,,,,
2019-09-01 15:32:10,,,,,,,,,,,
,,,,,,,,,,,
I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0,-1,-1,0,1,-1,0,-1,-1,-1,-1,-1
2,-4,-7,0,5,-5,-3,-4,-7,-7,-4,-8
7,-9,-17,0,12,-13,-7,-10,-15,-15,-8,-18
14,-14,-29,0,21,-21,-13,-15,-23,-21,-12,-29
21,-17,-39,-1,30,-28,-18,-19,-27,-24,-13,-37
25,-20,-46,-2,36,-34,-24,-21,-28,-24,-11,-43
25,-25,-50,0,38,-38,-31,-22,-27,-22,-9,-47
18,-32,-51,7,35,-42,-37,-24,-25,-20,-6,-50
9,-41,-50,16,29,-45,-43,-24,-22,-17,-2,-50
1,-47,-48,23,24,-47,-47,-25,-19,-14,2,-50
-4,-50,-45,27,20,-47,-51,-24,-16,-11,8,-48
-7,-49,-41,28,16,-45,-54,-24,-12,-6,16,-44
-7,-45,-36,26,14,-40,-57,-23,-8,0,27,-37
-4,-37,-33,21,14,-35,-60,-19,-1,8,39,-29
3,-26,-30,11,16,-28,-62,-14,7,21,54,-19
14,-12,-26,-1,20,-18,-65,-8,18,37,69,-9
24,3,-21,-13,23,-9,-69,-1,30,55,84,1
31,15,-15,-23,23,0,-74,4,42,72,98,10
34,24,-9,-29,22,7,-79,10,53,89,110,19
36,31,-4,-34,20,13,-84,17,65,106,123,28
38,38,0,-38,19,19,-87,24,78,125,136,39
41,47,6,-44,17,26,-91,31,92,144,150,51
43,59,15,-51,13,37,-96,38,106,165,166,64
46,72,26,-59,10,49,-102,45,121,187,183,78
51,86,35,-69,7,61,-107,53,138,210,200,92
55,99,43,-77,5,71,-113,62,157,235,217,107
58,111,52,-85,3,81,-119,70,176,260,235,123
62,124,60,-93,0,92,-124,80,196,284,252,138
68,138,69,-103,0,104,-128,90,217,308,270,154
76,154,77,-115,0,116,-131,101,238,330,288,170
84,171,86,-128,-1,129,-134,112,258,353,306,187
92,189,96,-141,-1,142,-137,121,278,375,324,203
99,206,106,-152,-3,156,-142,130,296,395,342,219
104,222,117,-163,-6,170,-147,139,313,415,358,235
110,237,126,-173,-8,181,-152,148,330,434,374,250
114,250,135,-182,-9,192,-157,157,346,454,389,264
120,263,142,-191,-10,203,-162,167,363,472,403,277
126,276,149,-201,-11,213,-165,176,379,490,416,290
131,289,157,-210,-12,223,-166,186,393,507,430,302
133,300,167,-217,-16,234,-167,195,408,523,442,314
133,311,176,-222,-21,244,-167,204,421,537,454,325
135,322,186,-228,-24,254,-166,212,433,552,466,337
138,333,194,-236,-27,264,-165,219,445,566,478,349
140,343,202,-241,-30,273,-164,225,457,580,490,360
139,350,209,-245,-34,280,-163,230,467,593,501,370
138,355,216,-246,-38,285,-163,235,477,606,511,379
136,358,221,-247,-42,290,-163,238,486,617,519,387
134,361,226,-248,-45,293,-162,242,493,626,525,393
132,364,231,-248,-48,297,-161,246,499,633,529,398
132,368,234,-250,-50,301,-159,250,503,637,531,401
131,369,237,-250,-52,303,-156,253,505,638,531,402
128,369,239,-249,-54,304,-153,256,505,636,529,401
124,367,242,-246,-58,304,-150,258,502,631,524,398
121,366,243,-244,-60,304,-145,261,498,623,517,394
120,363,242,-242,-60,303,-139,264,494,613,508,389
120,360,239,-240,-59,300,-131,268,488,600,497,383
117,354,235,-236,-58,295,-123,271,480,585,482,373
114,346,231,-230,-58,288,-114,273,470,565,465,362
109,336,225,-222,-57,281,-103,276,457,543,445,349
103,324,219,-213,-57,272,-93,278,443,518,424,333
96,310,213,-203,-57,262,-82,279,427,491,401,316
89,295,205,-192,-57,250,-70,280,410,462,378,297
83,279,195,-181,-55,238,-59,279,391,433,355,278
78,264,185,-171,-53,225,-48,278,372,404,332,258
74,250,175,-162,-49,212,-36,278,353,375,310,239
71,237,164,-154,-46,201,-23,277,335,347,288,220
68,224,154,-146,-42,189,-10,275,316,320,266,202
64,210,144,-137,-39,177,0,271,295,291,242,184
59,194,134,-126,-37,164,11,265,273,261,217,165
50,177,126,-113,-37,151,21,258,251,231,193,147
41,160,119,-100,-38,139,30,249,228,203,169,129
34,147,112,-90,-38,130,37,239,206,176,146,113
29,136,107,-82,-38,121,44,228,185,151,126,98
23,124,100,-74,-37,112,49,218,166,128,106,84
17,111,94,-64,-37,102,53,206,147,107,88,71
9,96,87,-53,-38,92,54,193,128,88,70,58
